task_id,asset_id,department_id,section_id,task_type,defect_id,due_date,estimated_duration_min,priority_score,status,preferred_window,power_block_required
T00082,A00082,SNT,S06,INSPECTION,,2026-09-28,120,70.2,OVERDUE,PREFERRED_NIGHT,False
T00083,A00083,SNT,S06,OVERDUE,,2026-09-29,150,54.6,EMERGENCY,EMERGENCY,False
T00084,A00084,SNT,S06,PREVENTIVE,D00084,2026-08-16,180,69.8,OPEN,NORMAL,True
T00085,A00085,SNT,S06,CORRECTIVE,,2026-09-03,60,85.0,PLANNED,PREFERRED_NIGHT,False
T00086,A00086,TRD,S06,INSPECTION,,2026-09-04,90,69.4,OVERDUE,EMERGENCY,False
T00087,A00087,TRD,S06,OVERDUE,,2026-09-05,120,48.6,EMERGENCY,NORMAL,False
T00088,A00088,TRD,S06,PREVENTIVE,D00088,2026-09-06,150,63.8,OPEN,PREFERRED_NIGHT,False
T00089,A00089,TRD,S06,CORRECTIVE,,2026-09-07,180,48.2,PLANNED,EMERGENCY,False
T00090,A00090,TRD,S06,INSPECTION,,2026-08-18,60,63.4,OVERDUE,NORMAL,False
T00091,A00091,ENG,S07,OVERDUE,,2026-09-09,90,78.6,EMERGENCY,PREFERRED_NIGHT,True
T00092,A00092,ENG,S07,PREVENTIVE,D00092,2026-09-10,120,93.8,OPEN,EMERGENCY,False
T00093,A00093,ENG,S07,CORRECTIVE,,2026-09-11,150,42.2,PLANNED,NORMAL,False
T00094,A00094,ENG,S07,INSPECTION,,2026-09-12,180,57.4,OVERDUE,PREFERRED_NIGHT,False
T00095,A00095,ENG,S07,OVERDUE,,2026-09-13,60,72.6,EMERGENCY,EMERGENCY,False
T00096,A00096,SNT,S07,PREVENTIVE,D00096,2026-08-20,90,57.0,OPEN,NORMAL,False
T00097,A00097,SNT,S07,CORRECTIVE,,2026-09-15,120,72.2,PLANNED,PREFERRED_NIGHT,False
T00098,A00098,SNT,S07,INSPECTION,,2026-09-16,150,87.4,OVERDUE,EMERGENCY,True
T00099,A00099,SNT,S07,OVERDUE,,2026-09-17,180,35.8,EMERGENCY,NORMAL,False
T00100,A00100,SNT,S07,PREVENTIVE,D00100,2026-09-18,60,51.0,OPEN,PREFERRED_NIGHT,False
T00101,A00101,TRD,S07,CORRECTIVE,,2026-09-19,90,66.2,PLANNED,EMERGENCY,False
T00102,A00102,TRD,S07,INSPECTION,,2026-08-14,120,81.4,OVERDUE,NORMAL,False
T00103,A00103,TRD,S07,OVERDUE,,2026-09-21,150,65.8,EMERGENCY,PREFERRED_NIGHT,False
T00104,A00104,TRD,S07,PREVENTIVE,D00104,2026-09-22,180,81.0,OPEN,EMERGENCY,False
T00105,A00105,TRD,S07,CORRECTIVE,,2026-09-23,60,60.2,PLANNED,NORMAL,True
T00106,A00106,ENG,S08,INSPECTION,,2026-09-24,90,44.6,OVERDUE,PREFERRED_NIGHT,False
T00107,A00107,ENG,S08,OVERDUE,,2026-09-25,120,59.8,EMERGENCY,EMERGENCY,False
T00108,A00108,ENG,S08,PREVENTIVE,D00108,2026-08-16,150,75.0,OPEN,NORMAL,False
T00109,A00109,ENG,S08,CORRECTIVE,,2026-09-27,180,59.4,PLANNED,PREFERRED_NIGHT,False
T00110,A00110,ENG,S08,INSPECTION,,2026-09-28,60,74.6,OVERDUE,EMERGENCY,False
T00111,A00111,SNT,S08,OVERDUE,,2026-09-29,90,53.8,EMERGENCY,NORMAL,False
T00112,A00112,SNT,S08,PREVENTIVE,D00112,2026-09-02,120,38.2,OPEN,PREFERRED_NIGHT,True
T00113,A00113,SNT,S08,CORRECTIVE,,2026-09-03,150,53.4,PLANNED,EMERGENCY,False
T00114,A00114,SNT,S08,INSPECTION,,2026-08-18,180,68.6,OVERDUE,NORMAL,False
T00115,A00115,SNT,S08,OVERDUE,,2026-09-05,60,83.8,EMERGENCY,PREFERRED_NIGHT,False
T00116,A00116,TRD,S08,PREVENTIVE,D00116,2026-09-06,90,68.2,OPEN,EMERGENCY,False
T00117,A00117,TRD,S08,CORRECTIVE,,2026-09-07,120,47.4,PLANNED,NORMAL,False
T00118,A00118,TRD,S08,INSPECTION,,2026-09-08,150,62.6,OVERDUE,PREFERRED_NIGHT,False
T00119,A00119,TRD,S08,OVERDUE,,2026-09-09,180,47.0,EMERGENCY,EMERGENCY,True
T00120,A00120,TRD,S08,PREVENTIVE,D00120,2026-08-20,60,62.2,OPEN,NORMAL,False
T00121,A00121,ENG,S09,CORRECTIVE,,2026-09-11,90,77.4,PLANNED,PREFERRED_NIGHT,False
T00122,A00122,ENG,S09,INSPECTION,,2026-09-12,120,61.8,OVERDUE,EMERGENCY,False
T00123,A00123,ENG,S09,OVERDUE,,2026-09-13,150,77.0,EMERGENCY,NORMAL,False
T00124,A00124,ENG,S09,PREVENTIVE,D00124,2026-09-14,180,56.2,OPEN,PREFERRED_NIGHT,False
T00125,A00125,ENG,S09,CORRECTIVE,,2026-09-15,60,71.4,PLANNED,EMERGENCY,False
T00126,A00126,SNT,S09,INSPECTION,,2026-08-14,90,55.8,OVERDUE,NORMAL,True
T00127,A00127,SNT,S09,OVERDUE,,2026-09-17,120,71.0,EMERGENCY,PREFERRED_NIGHT,False
T00128,A00128,SNT,S09,PREVENTIVE,D00128,2026-09-18,150,86.2,OPEN,EMERGENCY,False
T00129,A00129,SNT,S09,CORRECTIVE,,2026-09-19,180,70.6,PLANNED,NORMAL,False
T00130,A00130,SNT,S09,INSPECTION,,2026-09-20,60,49.8,OVERDUE,PREFERRED_NIGHT,False
T00131,A00131,TRD,S09,OVERDUE,,2026-09-21,90,65.0,EMERGENCY,EMERGENCY,False
T00132,A00132,TRD,S09,PREVENTIVE,D00132,2026-08-16,120,49.4,OPEN,NORMAL,False
T00133,A00133,TRD,S09,CORRECTIVE,,2026-09-23,150,64.6,PLANNED,PREFERRED_NIGHT,True
T00134,A00134,TRD,S09,INSPECTION,,2026-09-24,180,79.8,OVERDUE,EMERGENCY,False
T00135,A00135,TRD,S09,OVERDUE,,2026-09-25,60,95.0,EMERGENCY,NORMAL,False
T00136,A00136,ENG,S10,PREVENTIVE,D00136,2026-09-26,90,43.4,OPEN,PREFERRED_NIGHT,False
T00137,A00137,ENG,S10,CORRECTIVE,,2026-09-27,120,58.6,PLANNED,EMERGENCY,False
T00138,A00138,ENG,S10,INSPECTION,,2026-08-18,150,73.8,OVERDUE,NORMAL,False
T00139,A00139,ENG,S10,OVERDUE,,2026-09-29,180,58.2,EMERGENCY,PREFERRED_NIGHT,False
T00140,A00140,ENG,S10,PREVENTIVE,D00140,2026-09-02,60,73.4,OPEN,EMERGENCY,True
T00141,A00141,SNT,S10,CORRECTIVE,,2026-09-03,90,88.6,PLANNED,NORMAL,False
T00142,A00142,SNT,S10,INSPECTION,,2026-09-04,120,37.0,OVERDUE,PREFERRED_NIGHT,False
T00143,A00143,SNT,S10,OVERDUE,,2026-09-05,150,52.2,EMERGENCY,EMERGENCY,False
T00144,A00144,SNT,S10,PREVENTIVE,D00144,2026-08-20,180,67.4,OPEN,NORMAL,False
T00145,A00145,SNT,S10,CORRECTIVE,,2026-09-07,60,51.8,PLANNED,PREFERRED_NIGHT,False
T00146,A00146,TRD,S10,INSPECTION,,2026-09-08,90,67.0,OVERDUE,EMERGENCY,False
T00147,A00147,TRD,S10,OVERDUE,,2026-09-09,120,82.2,EMERGENCY,NORMAL,True
T00148,A00148,TRD,S10,PREVENTIVE,D00148,2026-09-10,150,61.4,OPEN,PREFERRED_NIGHT,False
T00149,A00149,TRD,S10,CORRECTIVE,,2026-09-11,180,45.8,PLANNED,EMERGENCY,False
T00150,A00150,TRD,S10,INSPECTION,,2026-08-14,60,61.0,OVERDUE,NORMAL,False
