inspection_id,asset_id,department_id,inspection_date,result,condition_score,inspection_type
I000590,A00059,TRD,2026-05-28,PASS,100,ROUTINE
I000591,A00059,TRD,2026-07-12,PASS,65,ROUTINE
I000592,A00059,TRD,2026-04-28,PASS,76,ROUTINE
I000600,A00060,TRD,2026-05-31,PASS,61,ROUTINE
I000601,A00060,TRD,2026-07-15,PASS,72,ROUTINE
I000602,A00060,TRD,2026-05-01,PASS,83,ROUTINE
I000610,A00061,ENG,2026-06-03,PASS,68,ROUTINE
I000611,A00061,ENG,2026-07-18,PASS,79,ROUTINE
I000612,A00061,ENG,2026-05-04,ATTENTION,90,ROUTINE
I000620,A00062,ENG,2026-06-06,PASS,75,ROUTINE
I000621,A00062,ENG,2026-07-21,ATTENTION,86,ROUTINE
I000622,A00062,ENG,2026-05-07,PASS,97,ROUTINE
I000630,A00063,ENG,2026-06-09,ATTENTION,82,ROUTINE
I000631,A00063,ENG,2026-07-24,PASS,93,ROUTINE
I000632,A00063,ENG,2026-05-10,PASS,58,ROUTINE
I000640,A00064,ENG,2026-06-12,PASS,89,ROUTINE
I000641,A00064,ENG,2026-07-27,PASS,100,ROUTINE
I000642,A00064,ENG,2026-05-13,PASS,65,ROUTINE
I000650,A00065,ENG,2026-06-15,PASS,96,ROUTINE
I000651,A00065,ENG,2026-04-01,PASS,61,ROUTINE
I000652,A00065,ENG,2026-05-16,PASS,72,ROUTINE
I000660,A00066,SNT,2026-06-18,PASS,57,ROUTINE
I000661,A00066,SNT,2026-04-04,PASS,68,ROUTINE
I000662,A00066,SNT,2026-05-19,PASS,79,ROUTINE
I000670,A00067,SNT,2026-06-21,PASS,64,ROUTINE
I000671,A00067,SNT,2026-04-07,PASS,75,ROUTINE
I000672,A00067,SNT,2026-05-22,PASS,86,ROUTINE
I000680,A00068,SNT,2026-06-24,PASS,71,ROUTINE
I000681,A00068,SNT,2026-04-10,PASS,82,ROUTINE
I000682,A00068,SNT,2026-05-25,ATTENTION,93,ROUTINE
I000690,A00069,SNT,2026-06-27,PASS,78,ROUTINE
I000691,A00069,SNT,2026-04-13,ATTENTION,89,ROUTINE
I000692,A00069,SNT,2026-05-28,PASS,100,ROUTINE
I000700,A00070,SNT,2026-06-30,ATTENTION,85,ROUTINE
I000701,A00070,SNT,2026-04-16,PASS,96,ROUTINE
I000702,A00070,SNT,2026-05-31,PASS,61,ROUTINE
I000710,A00071,TRD,2026-07-03,PASS,92,ROUTINE
I000711,A00071,TRD,2026-04-19,PASS,57,ROUTINE
I000712,A00071,TRD,2026-06-03,PASS,68,ROUTINE
I000720,A00072,TRD,2026-07-06,PASS,99,ROUTINE
I000721,A00072,TRD,2026-04-22,PASS,64,ROUTINE
I000722,A00072,TRD,2026-06-06,PASS,75,ROUTINE
I000730,A00073,TRD,2026-07-09,PASS,60,ROUTINE
I000731,A00073,TRD,2026-04-25,PASS,71,ROUTINE
I000732,A00073,TRD,2026-06-09,PASS,82,ROUTINE
I000740,A00074,TRD,2026-07-12,PASS,67,ROUTINE
I000741,A00074,TRD,2026-04-28,PASS,78,ROUTINE
I000742,A00074,TRD,2026-06-12,PASS,89,ROUTINE
I000750,A00075,TRD,2026-07-15,PASS,74,ROUTINE
I000751,A00075,TRD,2026-05-01,PASS,85,ROUTINE
I000752,A00075,TRD,2026-06-15,ATTENTION,96,ROUTINE
I000760,A00076,ENG,2026-07-18,PASS,81,ROUTINE
I000761,A00076,ENG,2026-05-04,ATTENTION,92,ROUTINE
I000762,A00076,ENG,2026-06-18,PASS,57,ROUTINE
I000770,A00077,ENG,2026-07-21,ATTENTION,88,ROUTINE
I000771,A00077,ENG,2026-05-07,PASS,99,ROUTINE
I000772,A00077,ENG,2026-06-21,PASS,64,ROUTINE
I000780,A00078,ENG,2026-07-24,PASS,95,ROUTINE
I000781,A00078,ENG,2026-05-10,PASS,60,ROUTINE
I000782,A00078,ENG,2026-06-24,PASS,71,ROUTINE
I000790,A00079,ENG,2026-07-27,PASS,56,ROUTINE
I000791,A00079,ENG,2026-05-13,PASS,67,ROUTINE
I000792,A00079,ENG,2026-06-27,PASS,78,ROUTINE
I000800,A00080,ENG,2026-04-01,PASS,63,ROUTINE
I000801,A00080,ENG,2026-05-16,PASS,74,ROUTINE
I000802,A00080,ENG,2026-06-30,PASS,85,ROUTINE
I000810,A00081,SNT,2026-04-04,PASS,70,ROUTINE
I000811,A00081,SNT,2026-05-19,PASS,81,ROUTINE
I000812,A00081,SNT,2026-07-03,PASS,92,ROUTINE
I000820,A00082,SNT,2026-04-07,PASS,77,ROUTINE
I000821,A00082,SNT,2026-05-22,PASS,88,ROUTINE
I000822,A00082,SNT,2026-07-06,ATTENTION,99,ROUTINE
I000830,A00083,SNT,2026-04-10,PASS,84,ROUTINE
I000831,A00083,SNT,2026-05-25,ATTENTION,95,ROUTINE
I000832,A00083,SNT,2026-07-09,PASS,60,ROUTINE
I000840,A00084,SNT,2026-04-13,ATTENTION,91,ROUTINE
I000841,A00084,SNT,2026-05-28,PASS,56,ROUTINE
I000842,A00084,SNT,2026-07-12,PASS,67,ROUTINE
I000850,A00085,SNT,2026-04-16,PASS,98,ROUTINE
I000851,A00085,SNT,2026-05-31,PASS,63,ROUTINE
I000852,A00085,SNT,2026-07-15,PASS,74,ROUTINE
I000860,A00086,TRD,2026-04-19,PASS,59,ROUTINE
I000861,A00086,TRD,2026-06-03,PASS,70,ROUTINE
I000862,A00086,TRD,2026-07-18,PASS,81,ROUTINE
I000870,A00087,TRD,2026-04-22,PASS,66,ROUTINE
I000871,A00087,TRD,2026-06-06,PASS,77,ROUTINE
I000872,A00087,TRD,2026-07-21,PASS,88,ROUTINE
I000880,A00088,TRD,2026-04-25,PASS,73,ROUTINE
I000881,A00088,TRD,2026-06-09,PASS,84,ROUTINE
I000882,A00088,TRD,2026-07-24,PASS,95,ROUTINE
I000890,A00089,TRD,2026-04-28,PASS,80,ROUTINE
I000891,A00089,TRD,2026-06-12,PASS,91,ROUTINE
I000892,A00089,TRD,2026-07-27,ATTENTION,56,ROUTINE
I000900,A00090,TRD,2026-05-01,PASS,87,ROUTINE
I000901,A00090,TRD,2026-06-15,ATTENTION,98,ROUTINE
I000902,A00090,TRD,2026-04-01,PASS,63,ROUTINE
I000910,A00091,ENG,2026-05-04,ATTENTION,94,ROUTINE
I000911,A00091,ENG,2026-06-18,PASS,59,ROUTINE
I000912,A00091,ENG,2026-04-04,PASS,70,ROUTINE
I000920,A00092,ENG,2026-05-07,PASS,55,ROUTINE
I000921,A00092,ENG,2026-06-21,PASS,66,ROUTINE
I000922,A00092,ENG,2026-04-07,PASS,77,ROUTINE
I000930,A00093,ENG,2026-05-10,PASS,62,ROUTINE
I000931,A00093,ENG,2026-06-24,PASS,73,ROUTINE
I000932,A00093,ENG,2026-04-10,PASS,84,ROUTINE
I000940,A00094,ENG,2026-05-13,PASS,69,ROUTINE
I000941,A00094,ENG,2026-06-27,PASS,80,ROUTINE
I000942,A00094,ENG,2026-04-13,PASS,91,ROUTINE
I000950,A00095,ENG,2026-05-16,PASS,76,ROUTINE
I000951,A00095,ENG,2026-06-30,PASS,87,ROUTINE
I000952,A00095,ENG,2026-04-16,PASS,98,ROUTINE
I000960,A00096,SNT,2026-05-19,PASS,83,ROUTINE
I000961,A00096,SNT,2026-07-03,PASS,94,ROUTINE
I000962,A00096,SNT,2026-04-19,ATTENTION,59,ROUTINE
I000970,A00097,SNT,2026-05-22,PASS,90,ROUTINE
I000971,A00097,SNT,2026-07-06,ATTENTION,55,ROUTINE
I000972,A00097,SNT,2026-04-22,PASS,66,ROUTINE
I000980,A00098,SNT,2026-05-25,ATTENTION,97,ROUTINE
I000981,A00098,SNT,2026-07-09,PASS,62,ROUTINE
I000982,A00098,SNT,2026-04-25,PASS,73,ROUTINE
I000990,A00099,SNT,2026-05-28,PASS,58,ROUTINE
I000991,A00099,SNT,2026-07-12,PASS,69,ROUTINE
I000992,A00099,SNT,2026-04-28,PASS,80,ROUTINE
I001000,A00100,SNT,2026-05-31,PASS,65,ROUTINE
I001001,A00100,SNT,2026-07-15,PASS,76,ROUTINE
I001002,A00100,SNT,2026-05-01,PASS,87,ROUTINE
I001010,A00101,TRD,2026-06-03,PASS,72,ROUTINE
I001011,A00101,TRD,2026-07-18,PASS,83,ROUTINE
I001012,A00101,TRD,2026-05-04,PASS,94,ROUTINE
I001020,A00102,TRD,2026-06-06,PASS,79,ROUTINE
I001021,A00102,TRD,2026-07-21,PASS,90,ROUTINE
I001022,A00102,TRD,2026-05-07,PASS,55,ROUTINE
I001030,A00103,TRD,2026-06-09,PASS,86,ROUTINE
I001031,A00103,TRD,2026-07-24,PASS,97,ROUTINE
I001032,A00103,TRD,2026-05-10,ATTENTION,62,ROUTINE
I001040,A00104,TRD,2026-06-12,PASS,93,ROUTINE
I001041,A00104,TRD,2026-07-27,ATTENTION,58,ROUTINE
I001042,A00104,TRD,2026-05-13,PASS,69,ROUTINE
I001050,A00105,TRD,2026-06-15,ATTENTION,100,ROUTINE
I001051,A00105,TRD,2026-04-01,PASS,65,ROUTINE
I001052,A00105,TRD,2026-05-16,PASS,76,ROUTINE
I001060,A00106,ENG,2026-06-18,PASS,61,ROUTINE
I001061,A00106,ENG,2026-04-04,PASS,72,ROUTINE
I001062,A00106,ENG,2026-05-19,PASS,83,ROUTINE
I001070,A00107,ENG,2026-06-21,PASS,68,ROUTINE
I001071,A00107,ENG,2026-04-07,PASS,79,ROUTINE
I001072,A00107,ENG,2026-05-22,PASS,90,ROUTINE
I001080,A00108,ENG,2026-06-24,PASS,75,ROUTINE
I001081,A00108,ENG,2026-04-10,PASS,86,ROUTINE
I001082,A00108,ENG,2026-05-25,PASS,97,ROUTINE
I001090,A00109,ENG,2026-06-27,PASS,82,ROUTINE
I001091,A00109,ENG,2026-04-13,PASS,93,ROUTINE
I001092,A00109,ENG,2026-05-28,PASS,58,ROUTINE
I001100,A00110,ENG,2026-06-30,PASS,89,ROUTINE
I001101,A00110,ENG,2026-04-16,PASS,100,ROUTINE
I001102,A00110,ENG,2026-05-31,ATTENTION,65,ROUTINE
I001110,A00111,SNT,2026-07-03,PASS,96,ROUTINE
I001111,A00111,SNT,2026-04-19,ATTENTION,61,ROUTINE
I001112,A00111,SNT,2026-06-03,PASS,72,ROUTINE
I001120,A00112,SNT,2026-07-06,ATTENTION,57,ROUTINE
I001121,A00112,SNT,2026-04-22,PASS,68,ROUTINE
I001122,A00112,SNT,2026-06-06,PASS,79,ROUTINE
I001130,A00113,SNT,2026-07-09,PASS,64,ROUTINE
I001131,A00113,SNT,2026-04-25,PASS,75,ROUTINE
I001132,A00113,SNT,2026-06-09,PASS,86,ROUTINE
I001140,A00114,SNT,2026-07-12,PASS,71,ROUTINE
I001141,A00114,SNT,2026-04-28,PASS,82,ROUTINE
I001142,A00114,SNT,2026-06-12,PASS,93,ROUTINE
I001150,A00115,SNT,2026-07-15,PASS,78,ROUTINE
I001151,A00115,SNT,2026-05-01,PASS,89,ROUTINE
I001152,A00115,SNT,2026-06-15,PASS,100,ROUTINE
I001160,A00116,TRD,2026-07-18,PASS,85,ROUTINE
I001161,A00116,TRD,2026-05-04,PASS,96,ROUTINE
I001162,A00116,TRD,2026-06-18,PASS,61,ROUTINE
I001170,A00117,TRD,2026-07-21,PASS,92,ROUTINE
I001171,A00117,TRD,2026-05-07,PASS,57,ROUTINE
I001172,A00117,TRD,2026-06-21,ATTENTION,68,ROUTINE
I001180,A00118,TRD,2026-07-24,PASS,99,ROUTINE
I001181,A00118,TRD,2026-05-10,ATTENTION,64,ROUTINE
I001182,A00118,TRD,2026-06-24,PASS,75,ROUTINE
I001190,A00119,TRD,2026-07-27,ATTENTION,60,ROUTINE
I001191,A00119,TRD,2026-05-13,PASS,71,ROUTINE
I001192,A00119,TRD,2026-06-27,PASS,82,ROUTINE
I001200,A00120,TRD,2026-04-01,PASS,67,ROUTINE
I001201,A00120,TRD,2026-05-16,PASS,78,ROUTINE
I001202,A00120,TRD,2026-06-30,PASS,89,ROUTINE
I001210,A00121,ENG,2026-04-04,PASS,74,ROUTINE
I001211,A00121,ENG,2026-05-19,PASS,85,ROUTINE
I001212,A00121,ENG,2026-07-03,PASS,96,ROUTINE
I001220,A00122,ENG,2026-04-07,PASS,81,ROUTINE
I001221,A00122,ENG,2026-05-22,PASS,92,ROUTINE
I001222,A00122,ENG,2026-07-06,PASS,57,ROUTINE
I001230,A00123,ENG,2026-04-10,PASS,88,ROUTINE
I001231,A00123,ENG,2026-05-25,PASS,99,ROUTINE
I001232,A00123,ENG,2026-07-09,PASS,64,ROUTINE
I001240,A00124,ENG,2026-04-13,PASS,95,ROUTINE
I001241,A00124,ENG,2026-05-28,PASS,60,ROUTINE
I001242,A00124,ENG,2026-07-12,ATTENTION,71,ROUTINE
I001250,A00125,ENG,2026-04-16,PASS,56,ROUTINE
I001251,A00125,ENG,2026-05-31,ATTENTION,67,ROUTINE
I001252,A00125,ENG,2026-07-15,PASS,78,ROUTINE
I001260,A00126,SNT,2026-04-19,ATTENTION,63,ROUTINE
I001261,A00126,SNT,2026-06-03,PASS,74,ROUTINE
I001262,A00126,SNT,2026-07-18,PASS,85,ROUTINE
I001270,A00127,SNT,2026-04-22,PASS,70,ROUTINE
I001271,A00127,SNT,2026-06-06,PASS,81,ROUTINE
I001272,A00127,SNT,2026-07-21,PASS,92,ROUTINE
I001280,A00128,SNT,2026-04-25,PASS,77,ROUTINE
I001281,A00128,SNT,2026-06-09,PASS,88,ROUTINE
I001282,A00128,SNT,2026-07-24,PASS,99,ROUTINE
I001290,A00129,SNT,2026-04-28,PASS,84,ROUTINE
I001291,A00129,SNT,2026-06-12,PASS,95,ROUTINE
I001292,A00129,SNT,2026-07-27,PASS,60,ROUTINE
I001300,A00130,SNT,2026-05-01,PASS,91,ROUTINE
I001301,A00130,SNT,2026-06-15,PASS,56,ROUTINE
I001302,A00130,SNT,2026-04-01,PASS,67,ROUTINE
I001310,A00131,TRD,2026-05-04,PASS,98,ROUTINE
I001311,A00131,TRD,2026-06-18,PASS,63,ROUTINE
I001312,A00131,TRD,2026-04-04,ATTENTION,74,ROUTINE
I001320,A00132,TRD,2026-05-07,PASS,59,ROUTINE
I001321,A00132,TRD,2026-06-21,ATTENTION,70,ROUTINE
I001322,A00132,TRD,2026-04-07,PASS,81,ROUTINE
I001330,A00133,TRD,2026-05-10,ATTENTION,66,ROUTINE
I001331,A00133,TRD,2026-06-24,PASS,77,ROUTINE
I001332,A00133,TRD,2026-04-10,PASS,88,ROUTINE
I001340,A00134,TRD,2026-05-13,PASS,73,ROUTINE
I001341,A00134,TRD,2026-06-27,PASS,84,ROUTINE
I001342,A00134,TRD,2026-04-13,PASS,95,ROUTINE
I001350,A00135,TRD,2026-05-16,PASS,80,ROUTINE
I001351,A00135,TRD,2026-06-30,PASS,91,ROUTINE
I001352,A00135,TRD,2026-04-16,PASS,56,ROUTINE
I001360,A00136,ENG,2026-05-19,PASS,87,ROUTINE
I001361,A00136,ENG,2026-07-03,PASS,98,ROUTINE
I001362,A00136,ENG,2026-04-19,PASS,63,ROUTINE
I001370,A00137,ENG,2026-05-22,PASS,94,ROUTINE
I001371,A00137,ENG,2026-07-06,PASS,59,ROUTINE
I001372,A00137,ENG,2026-04-22,PASS,70,ROUTINE
I001380,A00138,ENG,2026-05-25,PASS,55,ROUTINE
I001381,A00138,ENG,2026-07-09,PASS,66,ROUTINE
I001382,A00138,ENG,2026-04-25,ATTENTION,77,ROUTINE
I001390,A00139,ENG,2026-05-28,PASS,62,ROUTINE
I001391,A00139,ENG,2026-07-12,ATTENTION,73,ROUTINE
I001392,A00139,ENG,2026-04-28,PASS,84,ROUTINE
I001400,A00140,ENG,2026-05-31,ATTENTION,69,ROUTINE
I001401,A00140,ENG,2026-07-15,PASS,80,ROUTINE
I001402,A00140,ENG,2026-05-01,PASS,91,ROUTINE
I001410,A00141,SNT,2026-06-03,PASS,76,ROUTINE
I001411,A00141,SNT,2026-07-18,PASS,87,ROUTINE
I001412,A00141,SNT,2026-05-04,PASS,98,ROUTINE
I001420,A00142,SNT,2026-06-06,PASS,83,ROUTINE
I001421,A00142,SNT,2026-07-21,PASS,94,ROUTINE
I001422,A00142,SNT,2026-05-07,PASS,59,ROUTINE
I001430,A00143,SNT,2026-06-09,PASS,90,ROUTINE
I001431,A00143,SNT,2026-07-24,PASS,55,ROUTINE
I001432,A00143,SNT,2026-05-10,PASS,66,ROUTINE
