block_request_id,department_id,task_id,section_id,requested_date,preferred_start,preferred_end,minimum_duration_min,block_type,request_status,priority_score,authorization_status,work_description,power_block_required,bundling_candidate
BR00029,TRD,T00029,S02,2026-08-30,19:00,22:00,180,TRAFFIC,VALIDATED,81.4,REQUESTED,Maintenance work,False,False
BR00030,TRD,T00030,S02,2026-08-14,20:00,21:00,60,TRAFFIC,QUEUED,65.8,REQUESTED,Maintenance work,False,True
BR00031,ENG,T00031,S03,2026-09-04,21:00,23:00,90,TRAFFIC,OPTIMIZED,45.0,REQUESTED,Maintenance work,False,False
BR00032,ENG,T00032,S03,2026-09-04,18:00,20:00,120,TRAFFIC,REVIEW,60.2,REQUESTED,Maintenance work,False,False
BR00033,ENG,T00033,S03,2026-09-04,19:00,22:00,150,TRAFFIC,APPROVED,44.6,REQUESTED,Maintenance work,False,False
BR00034,ENG,T00034,S03,2026-09-04,20:00,23:00,180,TRAFFIC,CANCELLED,59.8,REQUESTED,Maintenance work,False,False
BR00035,ENG,T00035,S03,2026-09-09,21:00,22:00,60,POWER,DRAFT,75.0,REQUESTED,Maintenance work,True,False
BR00036,SNT,T00036,S03,2026-08-15,18:00,20:00,90,TRAFFIC,VALIDATED,90.2,REQUESTED,Maintenance work,False,True
BR00037,SNT,T00037,S03,2026-09-09,19:00,21:00,120,TRAFFIC,QUEUED,38.6,REQUESTED,Maintenance work,False,False
BR00038,SNT,T00038,S03,2026-09-09,20:00,23:00,150,TRAFFIC,OPTIMIZED,53.8,REQUESTED,Maintenance work,False,False
BR00039,SNT,T00039,S03,2026-09-09,21:00,00:00,180,TRAFFIC,REVIEW,69.0,REQUESTED,Maintenance work,False,False
BR00040,SNT,T00040,S03,2026-09-14,18:00,19:00,60,TRAFFIC,APPROVED,53.4,REQUESTED,Maintenance work,False,False
BR00041,TRD,T00041,S03,2026-09-14,19:00,21:00,90,TRAFFIC,CANCELLED,68.6,REQUESTED,Maintenance work,False,False
BR00042,TRD,T00042,S03,2026-08-16,20:00,22:00,120,POWER,DRAFT,83.8,REQUESTED,Maintenance work,True,True
BR00043,TRD,T00043,S03,2026-09-14,21:00,00:00,150,TRAFFIC,VALIDATED,68.2,REQUESTED,Maintenance work,False,False
BR00044,TRD,T00044,S03,2026-09-14,18:00,21:00,180,TRAFFIC,QUEUED,47.4,REQUESTED,Maintenance work,False,False
BR00045,TRD,T00045,S03,2026-09-19,19:00,20:00,60,TRAFFIC,OPTIMIZED,62.6,REQUESTED,Maintenance work,False,False
BR00046,ENG,T00046,S04,2026-09-19,20:00,22:00,90,TRAFFIC,REVIEW,77.8,REQUESTED,Maintenance work,False,False
BR00047,ENG,T00047,S04,2026-09-19,21:00,23:00,120,TRAFFIC,APPROVED,62.2,REQUESTED,Maintenance work,False,False
BR00048,ENG,T00048,S04,2026-08-17,18:00,21:00,150,TRAFFIC,CANCELLED,77.4,REQUESTED,Maintenance work,False,True
BR00049,ENG,T00049,S04,2026-09-19,19:00,22:00,180,POWER,DRAFT,92.6,REQUESTED,Maintenance work,True,False
BR00050,ENG,T00050,S04,2026-09-24,20:00,21:00,60,TRAFFIC,VALIDATED,41.0,REQUESTED,Maintenance work,False,False
BR00051,SNT,T00051,S04,2026-09-24,21:00,23:00,90,TRAFFIC,QUEUED,56.2,REQUESTED,Maintenance work,False,False
BR00052,SNT,T00052,S04,2026-09-24,18:00,20:00,120,TRAFFIC,OPTIMIZED,71.4,REQUESTED,Maintenance work,False,False
BR00053,SNT,T00053,S04,2026-09-24,19:00,22:00,150,TRAFFIC,REVIEW,55.8,REQUESTED,Maintenance work,False,False
BR00054,SNT,T00054,S04,2026-08-10,20:00,23:00,180,TRAFFIC,APPROVED,71.0,REQUESTED,Maintenance work,False,True
BR00055,SNT,T00055,S04,2026-09-29,21:00,22:00,60,TRAFFIC,CANCELLED,86.2,REQUESTED,Maintenance work,False,False
BR00056,TRD,T00056,S04,2026-09-01,18:00,20:00,90,POWER,DRAFT,34.6,REQUESTED,Maintenance work,True,False
BR00057,TRD,T00057,S04,2026-09-01,19:00,21:00,120,TRAFFIC,VALIDATED,49.8,REQUESTED,Maintenance work,False,False
BR00058,TRD,T00058,S04,2026-09-01,20:00,23:00,150,TRAFFIC,QUEUED,65.0,REQUESTED,Maintenance work,False,False
BR00059,TRD,T00059,S04,2026-09-01,21:00,00:00,180,TRAFFIC,OPTIMIZED,80.2,REQUESTED,Maintenance work,False,False
BR00060,TRD,T00060,S04,2026-08-16,18:00,19:00,60,TRAFFIC,REVIEW,64.6,REQUESTED,Maintenance work,False,True
BR00061,ENG,T00061,S05,2026-09-06,19:00,21:00,90,TRAFFIC,APPROVED,79.8,REQUESTED,Maintenance work,False,False
BR00062,ENG,T00062,S05,2026-09-06,20:00,22:00,120,TRAFFIC,CANCELLED,59.0,REQUESTED,Maintenance work,False,False
BR00063,ENG,T00063,S05,2026-09-06,21:00,00:00,150,POWER,DRAFT,43.4,REQUESTED,Maintenance work,True,False
BR00064,ENG,T00064,S05,2026-09-06,18:00,21:00,180,TRAFFIC,VALIDATED,58.6,REQUESTED,Maintenance work,False,False
BR00065,ENG,T00065,S05,2026-09-11,19:00,20:00,60,TRAFFIC,QUEUED,73.8,REQUESTED,Maintenance work,False,False
BR00066,SNT,T00066,S05,2026-08-17,20:00,22:00,90,TRAFFIC,OPTIMIZED,58.2,REQUESTED,Maintenance work,False,True
BR00067,SNT,T00067,S05,2026-09-11,21:00,23:00,120,TRAFFIC,REVIEW,73.4,REQUESTED,Maintenance work,False,False
BR00068,SNT,T00068,S05,2026-09-11,18:00,21:00,150,TRAFFIC,APPROVED,52.6,REQUESTED,Maintenance work,False,False
BR00069,SNT,T00069,S05,2026-09-11,19:00,22:00,180,TRAFFIC,CANCELLED,67.8,REQUESTED,Maintenance work,False,False
BR00070,SNT,T00070,S05,2026-09-16,20:00,21:00,60,POWER,DRAFT,52.2,REQUESTED,Maintenance work,True,False
BR00071,TRD,T00071,S05,2026-09-16,21:00,23:00,90,TRAFFIC,VALIDATED,67.4,REQUESTED,Maintenance work,False,False
BR00072,TRD,T00072,S05,2026-08-18,18:00,20:00,120,TRAFFIC,QUEUED,82.6,REQUESTED,Maintenance work,False,True
BR00073,TRD,T00073,S05,2026-09-16,19:00,22:00,150,TRAFFIC,OPTIMIZED,67.0,REQUESTED,Maintenance work,False,False
BR00074,TRD,T00074,S05,2026-09-16,20:00,23:00,180,TRAFFIC,REVIEW,46.2,REQUESTED,Maintenance work,False,False
BR00075,TRD,T00075,S05,2026-09-21,21:00,22:00,60,TRAFFIC,APPROVED,61.4,REQUESTED,Maintenance work,False,False
BR00076,ENG,T00076,S06,2026-09-21,18:00,20:00,90,TRAFFIC,CANCELLED,45.8,REQUESTED,Maintenance work,False,False
BR00077,ENG,T00077,S06,2026-09-21,19:00,21:00,120,POWER,DRAFT,61.0,REQUESTED,Maintenance work,True,False
BR00078,ENG,T00078,S06,2026-08-11,20:00,23:00,150,TRAFFIC,VALIDATED,76.2,REQUESTED,Maintenance work,False,True
BR00079,ENG,T00079,S06,2026-09-21,21:00,00:00,180,TRAFFIC,QUEUED,91.4,REQUESTED,Maintenance work,False,False
BR00080,ENG,T00080,S06,2026-09-26,18:00,19:00,60,TRAFFIC,OPTIMIZED,39.8,REQUESTED,Maintenance work,False,False
BR00081,SNT,T00081,S06,2026-09-26,19:00,21:00,90,TRAFFIC,REVIEW,55.0,REQUESTED,Maintenance work,False,False
BR00082,SNT,T00082,S06,2026-09-26,20:00,22:00,120,TRAFFIC,APPROVED,70.2,REQUESTED,Maintenance work,False,False
BR00083,SNT,T00083,S06,2026-09-26,21:00,00:00,150,TRAFFIC,CANCELLED,54.6,REQUESTED,Maintenance work,False,False
BR00084,SNT,T00084,S06,2026-08-12,18:00,21:00,180,POWER,DRAFT,69.8,REQUESTED,Maintenance work,True,True
BR00085,SNT,T00085,S06,2026-09-03,19:00,20:00,60,TRAFFIC,VALIDATED,85.0,REQUESTED,Maintenance work,False,False
BR00086,TRD,T00086,S06,2026-09-03,20:00,22:00,90,TRAFFIC,QUEUED,69.4,REQUESTED,Maintenance work,False,False
BR00087,TRD,T00087,S06,2026-09-03,21:00,23:00,120,TRAFFIC,OPTIMIZED,48.6,REQUESTED,Maintenance work,False,False
BR00088,TRD,T00088,S06,2026-09-03,18:00,21:00,150,TRAFFIC,REVIEW,63.8,REQUESTED,Maintenance work,False,False
BR00089,TRD,T00089,S06,2026-09-03,19:00,22:00,180,TRAFFIC,APPROVED,48.2,REQUESTED,Maintenance work,False,False
BR00090,TRD,T00090,S06,2026-08-18,20:00,21:00,60,TRAFFIC,CANCELLED,63.4,REQUESTED,Maintenance work,False,True
BR00091,ENG,T00091,S07,2026-09-08,21:00,23:00,90,POWER,DRAFT,78.6,REQUESTED,Maintenance work,True,False
BR00092,ENG,T00092,S07,2026-09-08,18:00,20:00,120,TRAFFIC,VALIDATED,93.8,REQUESTED,Maintenance work,False,False
BR00093,ENG,T00093,S07,2026-09-08,19:00,22:00,150,TRAFFIC,QUEUED,42.2,REQUESTED,Maintenance work,False,False
BR00094,ENG,T00094,S07,2026-09-08,20:00,23:00,180,TRAFFIC,OPTIMIZED,57.4,REQUESTED,Maintenance work,False,False
BR00095,ENG,T00095,S07,2026-09-13,21:00,22:00,60,TRAFFIC,REVIEW,72.6,REQUESTED,Maintenance work,False,False
BR00096,SNT,T00096,S07,2026-08-19,18:00,20:00,90,TRAFFIC,APPROVED,57.0,REQUESTED,Maintenance work,False,True
BR00097,SNT,T00097,S07,2026-09-13,19:00,21:00,120,TRAFFIC,CANCELLED,72.2,REQUESTED,Maintenance work,False,False
BR00098,SNT,T00098,S07,2026-09-13,20:00,23:00,150,POWER,DRAFT,87.4,REQUESTED,Maintenance work,True,False
BR00099,SNT,T00099,S07,2026-09-13,21:00,00:00,180,TRAFFIC,VALIDATED,35.8,REQUESTED,Maintenance work,False,False
BR00100,SNT,T00100,S07,2026-09-18,18:00,19:00,60,TRAFFIC,QUEUED,51.0,REQUESTED,Maintenance work,False,False
BR00101,TRD,T00101,S07,2026-09-18,19:00,21:00,90,TRAFFIC,OPTIMIZED,66.2,REQUESTED,Maintenance work,False,False
BR00102,TRD,T00102,S07,2026-08-12,20:00,22:00,120,TRAFFIC,REVIEW,81.4,REQUESTED,Maintenance work,False,True
BR00103,TRD,T00103,S07,2026-09-18,21:00,00:00,150,TRAFFIC,APPROVED,65.8,REQUESTED,Maintenance work,False,False
BR00104,TRD,T00104,S07,2026-09-18,18:00,21:00,180,TRAFFIC,CANCELLED,81.0,REQUESTED,Maintenance work,False,False
BR00105,TRD,T00105,S07,2026-09-23,19:00,20:00,60,POWER,DRAFT,60.2,REQUESTED,Maintenance work,True,False
BR00106,ENG,T00106,S08,2026-09-23,20:00,22:00,90,TRAFFIC,VALIDATED,44.6,REQUESTED,Maintenance work,False,False
BR00107,ENG,T00107,S08,2026-09-23,21:00,23:00,120,TRAFFIC,QUEUED,59.8,REQUESTED,Maintenance work,False,False
BR00108,ENG,T00108,S08,2026-08-13,18:00,21:00,150,TRAFFIC,OPTIMIZED,75.0,REQUESTED,Maintenance work,False,True
BR00109,ENG,T00109,S08,2026-09-23,19:00,22:00,180,TRAFFIC,REVIEW,59.4,REQUESTED,Maintenance work,False,False
BR00110,ENG,T00110,S08,2026-09-28,20:00,21:00,60,TRAFFIC,APPROVED,74.6,REQUESTED,Maintenance work,False,False
BR00111,SNT,T00111,S08,2026-09-28,21:00,23:00,90,TRAFFIC,CANCELLED,53.8,REQUESTED,Maintenance work,False,False
BR00112,SNT,T00112,S08,2026-08-31,18:00,20:00,120,POWER,DRAFT,38.2,REQUESTED,Maintenance work,True,False
BR00113,SNT,T00113,S08,2026-08-31,19:00,22:00,150,TRAFFIC,VALIDATED,53.4,REQUESTED,Maintenance work,False,False
BR00114,SNT,T00114,S08,2026-08-14,20:00,23:00,180,TRAFFIC,QUEUED,68.6,REQUESTED,Maintenance work,False,True
BR00115,SNT,T00115,S08,2026-09-05,21:00,22:00,60,TRAFFIC,OPTIMIZED,83.8,REQUESTED,Maintenance work,False,False
BR00116,TRD,T00116,S08,2026-09-05,18:00,20:00,90,TRAFFIC,REVIEW,68.2,REQUESTED,Maintenance work,False,False
BR00117,TRD,T00117,S08,2026-09-05,19:00,21:00,120,TRAFFIC,APPROVED,47.4,REQUESTED,Maintenance work,False,False
BR00118,TRD,T00118,S08,2026-09-05,20:00,23:00,150,TRAFFIC,CANCELLED,62.6,REQUESTED,Maintenance work,False,False
BR00119,TRD,T00119,S08,2026-09-05,21:00,00:00,180,POWER,DRAFT,47.0,REQUESTED,Maintenance work,True,False
BR00120,TRD,T00120,S08,2026-08-20,18:00,19:00,60,TRAFFIC,VALIDATED,62.2,REQUESTED,Maintenance work,False,True
BR00121,ENG,T00121,S09,2026-09-10,19:00,21:00,90,TRAFFIC,QUEUED,77.4,REQUESTED,Maintenance work,False,False
BR00122,ENG,T00122,S09,2026-09-10,20:00,22:00,120,TRAFFIC,OPTIMIZED,61.8,REQUESTED,Maintenance work,False,False
BR00123,ENG,T00123,S09,2026-09-10,21:00,00:00,150,TRAFFIC,REVIEW,77.0,REQUESTED,Maintenance work,False,False
BR00124,ENG,T00124,S09,2026-09-10,18:00,21:00,180,TRAFFIC,APPROVED,56.2,REQUESTED,Maintenance work,False,False
BR00125,ENG,T00125,S09,2026-09-15,19:00,20:00,60,TRAFFIC,CANCELLED,71.4,REQUESTED,Maintenance work,False,False
BR00126,SNT,T00126,S09,2026-08-13,20:00,22:00,90,POWER,DRAFT,55.8,REQUESTED,Maintenance work,True,True
BR00127,SNT,T00127,S09,2026-09-15,21:00,23:00,120,TRAFFIC,VALIDATED,71.0,REQUESTED,Maintenance work,False,False
BR00128,SNT,T00128,S09,2026-09-15,18:00,21:00,150,TRAFFIC,QUEUED,86.2,REQUESTED,Maintenance work,False,False
BR00129,SNT,T00129,S09,2026-09-15,19:00,22:00,180,TRAFFIC,OPTIMIZED,70.6,REQUESTED,Maintenance work,False,False
BR00130,SNT,T00130,S09,2026-09-20,20:00,21:00,60,TRAFFIC,REVIEW,49.8,REQUESTED,Maintenance work,False,False
BR00131,TRD,T00131,S09,2026-09-20,21:00,23:00,90,TRAFFIC,APPROVED,65.0,REQUESTED,Maintenance work,False,False
BR00132,TRD,T00132,S09,2026-08-14,18:00,20:00,120,TRAFFIC,CANCELLED,49.4,REQUESTED,Maintenance work,False,True
BR00133,TRD,T00133,S09,2026-09-20,19:00,22:00,150,POWER,DRAFT,64.6,REQUESTED,Maintenance work,True,False
BR00134,TRD,T00134,S09,2026-09-20,20:00,23:00,180,TRAFFIC,VALIDATED,79.8,REQUESTED,Maintenance work,False,False
BR00135,TRD,T00135,S09,2026-09-25,21:00,22:00,60,TRAFFIC,QUEUED,95.0,REQUESTED,Maintenance work,False,False
BR00136,ENG,T00136,S10,2026-09-25,18:00,20:00,90,TRAFFIC,OPTIMIZED,43.4,REQUESTED,Maintenance work,False,False
BR00137,ENG,T00137,S10,2026-09-25,19:00,21:00,120,TRAFFIC,REVIEW,58.6,REQUESTED,Maintenance work,False,False
BR00138,ENG,T00138,S10,2026-08-15,20:00,23:00,150,TRAFFIC,APPROVED,73.8,REQUESTED,Maintenance work,False,True
BR00139,ENG,T00139,S10,2026-09-25,21:00,00:00,180,TRAFFIC,CANCELLED,58.2,REQUESTED,Maintenance work,False,False
BR00140,ENG,T00140,S10,2026-09-02,18:00,19:00,60,POWER,DRAFT,73.4,REQUESTED,Maintenance work,True,False
BR00141,SNT,T00141,S10,2026-09-02,19:00,21:00,90,TRAFFIC,VALIDATED,88.6,REQUESTED,Maintenance work,False,False
BR00142,SNT,T00142,S10,2026-09-02,20:00,22:00,120,TRAFFIC,QUEUED,37.0,REQUESTED,Maintenance work,False,False
BR00143,SNT,T00143,S10,2026-09-02,21:00,00:00,150,TRAFFIC,OPTIMIZED,52.2,REQUESTED,Maintenance work,False,False
BR00144,SNT,T00144,S10,2026-08-16,18:00,21:00,180,TRAFFIC,REVIEW,67.4,REQUESTED,Maintenance work,False,True
BR00145,SNT,T00145,S10,2026-09-07,19:00,20:00,60,TRAFFIC,APPROVED,51.8,REQUESTED,Maintenance work,False,False
BR00146,TRD,T00146,S10,2026-09-07,20:00,22:00,90,TRAFFIC,CANCELLED,67.0,REQUESTED,Maintenance work,False,False
BR00147,TRD,T00147,S10,2026-09-07,21:00,23:00,120,POWER,DRAFT,82.2,REQUESTED,Maintenance work,True,False
BR00148,TRD,T00148,S10,2026-09-07,18:00,21:00,150,TRAFFIC,VALIDATED,61.4,REQUESTED,Maintenance work,False,False
BR00149,TRD,T00149,S10,2026-09-07,19:00,22:00,180,TRAFFIC,QUEUED,45.8,REQUESTED,Maintenance work,False,False
BR00150,TRD,T00150,S10,2026-08-14,20:00,21:00,60,TRAFFIC,OPTIMIZED,61.0,REQUESTED,Maintenance work,False,True
