forecast_id,forecast_date,section_id,expected_goods_trains,confidence,traffic_level
GF00094,2026-09-11,S01,3,0.98,MEDIUM
GF00095,2026-09-12,S06,2,0.65,HIGH
GF00096,2026-09-13,S01,1,0.82,LOW
GF00097,2026-09-14,S06,6,0.99,MEDIUM
GF00098,2026-09-15,S01,5,0.66,HIGH
GF00099,2026-09-16,S06,4,0.83,LOW
GF00100,2026-09-17,S01,3,0.5,MEDIUM
GF00101,2026-09-18,S06,2,0.67,HIGH
GF00102,2026-09-19,S01,1,0.84,LOW
GF00103,2026-09-20,S06,6,0.51,MEDIUM
GF00104,2026-09-21,S01,5,0.68,HIGH
GF00105,2026-09-22,S06,4,0.85,LOW
GF00106,2026-09-23,S01,3,0.52,MEDIUM
GF00107,2026-09-24,S06,2,0.69,HIGH
GF00108,2026-09-25,S01,1,0.86,LOW
GF00109,2026-09-26,S06,6,0.53,MEDIUM
GF00110,2026-09-27,S01,5,0.7,HIGH
GF00111,2026-09-28,S06,4,0.87,LOW
GF00112,2026-09-01,S01,3,0.54,MEDIUM
GF00113,2026-09-02,S06,2,0.71,HIGH
GF00114,2026-09-03,S01,1,0.88,LOW
GF00115,2026-09-04,S06,6,0.55,MEDIUM
GF00116,2026-09-05,S01,5,0.72,HIGH
GF00117,2026-09-06,S06,4,0.89,LOW
GF00118,2026-09-07,S01,3,0.56,MEDIUM
GF00119,2026-09-08,S06,2,0.73,HIGH
GF00120,2026-09-09,S01,1,0.9,LOW
GF00121,2026-09-10,S06,6,0.57,MEDIUM
GF00122,2026-09-11,S01,5,0.74,HIGH
GF00123,2026-09-12,S06,4,0.91,LOW
GF00124,2026-09-13,S01,3,0.58,MEDIUM
GF00125,2026-09-14,S06,2,0.75,HIGH
GF00126,2026-09-15,S01,1,0.92,LOW
GF00127,2026-09-16,S06,6,0.59,MEDIUM
GF00128,2026-09-17,S01,5,0.76,HIGH
GF00129,2026-09-18,S06,4,0.93,LOW
GF00130,2026-09-19,S01,3,0.6,MEDIUM
GF00131,2026-09-20,S06,2,0.77,HIGH
GF00132,2026-09-21,S01,1,0.94,LOW
GF00133,2026-09-22,S06,6,0.61,MEDIUM
GF00134,2026-09-23,S01,5,0.78,HIGH
GF00135,2026-09-24,S06,4,0.95,LOW
GF00136,2026-09-25,S01,3,0.62,MEDIUM
GF00137,2026-09-26,S06,2,0.79,HIGH
GF00138,2026-09-27,S01,1,0.96,LOW
GF00139,2026-09-28,S06,6,0.63,MEDIUM
GF00140,2026-09-01,S01,5,0.8,HIGH
GF00141,2026-09-02,S06,4,0.97,LOW
GF00142,2026-09-03,S01,3,0.64,MEDIUM
GF00143,2026-09-04,S06,2,0.81,HIGH
GF00144,2026-09-05,S01,1,0.98,LOW
GF00145,2026-09-06,S06,6,0.65,MEDIUM
GF00146,2026-09-07,S01,5,0.82,HIGH
GF00147,2026-09-08,S06,4,0.99,LOW
GF00148,2026-09-09,S01,3,0.66,MEDIUM
GF00149,2026-09-10,S06,2,0.83,HIGH
GF00150,2026-09-11,S01,1,0.5,LOW
GF00151,2026-09-12,S06,6,0.67,MEDIUM
GF00152,2026-09-13,S01,5,0.84,HIGH
GF00153,2026-09-14,S06,4,0.51,LOW
GF00154,2026-09-15,S01,3,0.68,MEDIUM
GF00155,2026-09-16,S06,2,0.85,HIGH
GF00156,2026-09-17,S01,1,0.52,LOW
GF00157,2026-09-18,S06,6,0.69,MEDIUM
GF00158,2026-09-19,S01,5,0.86,HIGH
GF00159,2026-09-20,S06,4,0.53,LOW
GF00160,2026-09-21,S01,3,0.7,MEDIUM
GF00161,2026-09-22,S06,2,0.87,HIGH
GF00162,2026-09-23,S01,1,0.54,LOW
GF00163,2026-09-24,S06,6,0.71,MEDIUM
GF00164,2026-09-25,S01,5,0.88,HIGH
GF00165,2026-09-26,S06,4,0.55,LOW
GF00166,2026-09-27,S01,3,0.72,MEDIUM
GF00167,2026-09-28,S06,2,0.89,HIGH
GF00168,2026-09-01,S01,1,0.56,LOW
GF00169,2026-09-02,S06,6,0.73,MEDIUM
GF00170,2026-09-03,S01,5,0.9,HIGH
GF00171,2026-09-04,S06,4,0.57,LOW
GF00172,2026-09-05,S01,3,0.74,MEDIUM
GF00173,2026-09-06,S06,2,0.91,HIGH
GF00174,2026-09-07,S01,1,0.58,LOW
GF00175,2026-09-08,S06,6,0.75,MEDIUM
GF00176,2026-09-09,S01,5,0.92,HIGH
GF00177,2026-09-10,S06,4,0.59,LOW
GF00178,2026-09-11,S01,3,0.76,MEDIUM
GF00179,2026-09-12,S06,2,0.93,HIGH
GF00180,2026-09-13,S01,1,0.6,LOW
GF00181,2026-09-14,S06,6,0.77,MEDIUM
GF00182,2026-09-15,S01,5,0.94,HIGH
GF00183,2026-09-16,S06,4,0.61,LOW
GF00184,2026-09-17,S01,3,0.78,MEDIUM
GF00185,2026-09-18,S06,2,0.95,HIGH
GF00186,2026-09-19,S01,1,0.62,LOW
GF00187,2026-09-20,S06,6,0.79,MEDIUM
GF00188,2026-09-21,S01,5,0.96,HIGH
GF00189,2026-09-22,S06,4,0.63,LOW
GF00190,2026-09-23,S01,3,0.8,MEDIUM
GF00191,2026-09-24,S06,2,0.97,HIGH
GF00192,2026-09-25,S01,1,0.64,LOW
GF00193,2026-09-26,S06,6,0.81,MEDIUM
GF00194,2026-09-27,S01,5,0.98,HIGH
GF00195,2026-09-28,S06,4,0.65,LOW
GF00196,2026-09-01,S01,3,0.82,MEDIUM
GF00197,2026-09-02,S06,2,0.99,HIGH
GF00198,2026-09-03,S01,1,0.66,LOW
GF00199,2026-09-04,S06,6,0.83,MEDIUM
GF00200,2026-09-05,S01,5,0.5,HIGH
GF00201,2026-09-06,S06,4,0.67,LOW
GF00202,2026-09-07,S01,3,0.84,MEDIUM
GF00203,2026-09-08,S06,2,0.51,HIGH
GF00204,2026-09-09,S01,1,0.68,LOW
GF00205,2026-09-10,S06,6,0.85,MEDIUM
GF00206,2026-09-11,S01,5,0.52,HIGH
GF00207,2026-09-12,S06,4,0.69,LOW
GF00208,2026-09-13,S01,3,0.86,MEDIUM
GF00209,2026-09-14,S06,2,0.53,HIGH
GF00210,2026-09-15,S01,1,0.7,LOW
GF00211,2026-09-16,S06,6,0.87,MEDIUM
GF00212,2026-09-17,S01,5,0.54,HIGH
GF00213,2026-09-18,S06,4,0.71,LOW
GF00214,2026-09-19,S01,3,0.88,MEDIUM
GF00215,2026-09-20,S06,2,0.55,HIGH
GF00216,2026-09-21,S01,1,0.72,LOW
GF00217,2026-09-22,S06,6,0.89,MEDIUM
GF00218,2026-09-23,S01,5,0.56,HIGH
GF00219,2026-09-24,S06,4,0.73,LOW
GF00220,2026-09-25,S01,3,0.9,MEDIUM
GF00221,2026-09-26,S06,2,0.57,HIGH
GF00222,2026-09-27,S01,1,0.74,LOW
GF00223,2026-09-28,S06,6,0.91,MEDIUM
GF00224,2026-09-01,S01,5,0.58,HIGH
GF00225,2026-09-02,S06,4,0.75,LOW
GF00226,2026-09-03,S01,3,0.92,MEDIUM
GF00227,2026-09-04,S06,2,0.59,HIGH
GF00228,2026-09-05,S01,1,0.76,LOW
GF00229,2026-09-06,S06,6,0.93,MEDIUM
GF00230,2026-09-07,S01,5,0.6,HIGH
GF00231,2026-09-08,S06,4,0.77,LOW
GF00232,2026-09-09,S01,3,0.94,MEDIUM
GF00233,2026-09-10,S06,2,0.61,HIGH
GF00234,2026-09-11,S01,1,0.78,LOW
GF00235,2026-09-12,S06,6,0.95,MEDIUM
GF00236,2026-09-13,S01,5,0.62,HIGH
GF00237,2026-09-14,S06,4,0.79,LOW
GF00238,2026-09-15,S01,3,0.96,MEDIUM
GF00239,2026-09-16,S06,2,0.63,HIGH
GF00240,2026-09-17,S01,1,0.8,LOW
GF00241,2026-09-18,S06,6,0.97,MEDIUM
GF00242,2026-09-19,S01,5,0.64,HIGH
GF00243,2026-09-20,S06,4,0.81,LOW
GF00244,2026-09-21,S01,3,0.98,MEDIUM
GF00245,2026-09-22,S06,2,0.65,HIGH
GF00246,2026-09-23,S01,1,0.82,LOW
GF00247,2026-09-24,S06,6,0.99,MEDIUM
GF00248,2026-09-25,S01,5,0.66,HIGH
GF00249,2026-09-26,S06,4,0.83,LOW
GF00250,2026-09-27,S01,3,0.5,MEDIUM
GF00251,2026-09-28,S06,2,0.67,HIGH
GF00252,2026-09-01,S01,1,0.84,LOW
GF00253,2026-09-02,S06,6,0.51,MEDIUM
GF00254,2026-09-03,S01,5,0.68,HIGH
GF00255,2026-09-04,S06,4,0.85,LOW
GF00256,2026-09-05,S01,3,0.52,MEDIUM
GF00257,2026-09-06,S06,2,0.69,HIGH
GF00258,2026-09-07,S01,1,0.86,LOW
GF00259,2026-09-08,S06,6,0.53,MEDIUM
GF00260,2026-09-09,S01,5,0.7,HIGH
GF00261,2026-09-10,S06,4,0.87,LOW
GF00262,2026-09-11,S01,3,0.54,MEDIUM
GF00263,2026-09-12,S06,2,0.71,HIGH
GF00264,2026-09-13,S01,1,0.88,LOW
GF00265,2026-09-14,S06,6,0.55,MEDIUM
GF00266,2026-09-15,S01,5,0.72,HIGH
GF00267,2026-09-16,S06,4,0.89,LOW
GF00268,2026-09-17,S01,3,0.56,MEDIUM
GF00269,2026-09-18,S06,2,0.73,HIGH
GF00270,2026-09-19,S01,1,0.9,LOW
GF00271,2026-09-20,S06,6,0.57,MEDIUM
GF00272,2026-09-21,S01,5,0.74,HIGH
GF00273,2026-09-22,S06,4,0.91,LOW
GF00274,2026-09-23,S01,3,0.58,MEDIUM
GF00275,2026-09-24,S06,2,0.75,HIGH
GF00276,2026-09-25,S01,1,0.92,LOW
GF00277,2026-09-26,S06,6,0.59,MEDIUM
GF00278,2026-09-27,S01,5,0.76,HIGH
GF00279,2026-09-28,S06,4,0.93,LOW
GF00280,2026-09-01,S01,3,0.6,MEDIUM
GF00281,2026-09-02,S06,2,0.77,HIGH
GF00282,2026-09-03,S01,1,0.94,LOW
GF00283,2026-09-04,S06,6,0.61,MEDIUM
GF00284,2026-09-05,S01,5,0.78,HIGH
GF00285,2026-09-06,S06,4,0.95,LOW
GF00286,2026-09-07,S01,3,0.62,MEDIUM
GF00287,2026-09-08,S06,2,0.79,HIGH
GF00288,2026-09-09,S01,1,0.96,LOW
GF00289,2026-09-10,S06,6,0.63,MEDIUM
GF00290,2026-09-11,S01,5,0.8,HIGH
GF00291,2026-09-12,S06,4,0.97,LOW
GF00292,2026-09-13,S01,3,0.64,MEDIUM
GF00293,2026-09-14,S06,2,0.81,HIGH
GF00294,2026-09-15,S01,1,0.98,LOW
GF00295,2026-09-16,S06,6,0.65,MEDIUM
GF00296,2026-09-17,S01,5,0.82,HIGH
GF00297,2026-09-18,S06,4,0.99,LOW
GF00298,2026-09-19,S01,3,0.66,MEDIUM
GF00299,2026-09-20,S06,2,0.83,HIGH
GF00300,2026-09-21,S01,1,0.5,LOW
GF00301,2026-09-22,S06,6,0.67,MEDIUM
GF00302,2026-09-23,S01,5,0.84,HIGH
GF00303,2026-09-24,S06,4,0.51,LOW
GF00304,2026-09-25,S01,3,0.68,MEDIUM
GF00305,2026-09-26,S06,2,0.85,HIGH
GF00306,2026-09-27,S01,1,0.52,LOW
GF00307,2026-09-28,S06,6,0.69,MEDIUM
GF00308,2026-09-01,S01,5,0.86,HIGH
GF00309,2026-09-02,S06,4,0.53,LOW
GF00310,2026-09-03,S01,3,0.7,MEDIUM
GF00311,2026-09-04,S06,2,0.87,HIGH
GF00312,2026-09-05,S01,1,0.54,LOW
GF00313,2026-09-06,S06,6,0.71,MEDIUM
GF00314,2026-09-07,S01,5,0.88,HIGH
GF00315,2026-09-08,S06,4,0.55,LOW
GF00316,2026-09-09,S01,3,0.72,MEDIUM
GF00317,2026-09-10,S06,2,0.89,HIGH
GF00318,2026-09-11,S01,1,0.56,LOW
GF00319,2026-09-12,S06,6,0.73,MEDIUM
GF00320,2026-09-13,S01,5,0.9,HIGH
GF00321,2026-09-14,S06,4,0.57,LOW
GF00322,2026-09-15,S01,3,0.74,MEDIUM
GF00323,2026-09-16,S06,2,0.91,HIGH
GF00324,2026-09-17,S01,1,0.58,LOW
GF00325,2026-09-18,S06,6,0.75,MEDIUM
GF00326,2026-09-19,S01,5,0.92,HIGH
GF00327,2026-09-20,S06,4,0.59,LOW
GF00328,2026-09-21,S01,3,0.76,MEDIUM
GF00329,2026-09-22,S06,2,0.93,HIGH
GF00330,2026-09-23,S01,1,0.6,LOW
GF00331,2026-09-24,S06,6,0.77,MEDIUM
GF00332,2026-09-25,S01,5,0.94,HIGH
GF00333,2026-09-26,S06,4,0.61,LOW
GF00334,2026-09-27,S01,3,0.78,MEDIUM
GF00335,2026-09-28,S06,2,0.95,HIGH
GF00336,2026-09-01,S01,1,0.62,LOW
GF00337,2026-09-02,S06,6,0.79,MEDIUM
GF00338,2026-09-03,S01,5,0.96,HIGH
GF00339,2026-09-04,S06,4,0.63,LOW
GF00340,2026-09-05,S01,3,0.8,MEDIUM
GF00341,2026-09-06,S06,2,0.97,HIGH
GF00342,2026-09-07,S01,1,0.64,LOW
GF00343,2026-09-08,S06,6,0.81,MEDIUM
GF00344,2026-09-09,S01,5,0.98,HIGH
GF00345,2026-09-10,S06,4,0.65,LOW
GF00346,2026-09-11,S01,3,0.82,MEDIUM
GF00347,2026-09-12,S06,2,0.99,HIGH
GF00348,2026-09-13,S01,1,0.66,LOW
GF00349,2026-09-14,S06,6,0.83,MEDIUM
GF00350,2026-09-15,S01,5,0.5,HIGH
GF00351,2026-09-16,S06,4,0.67,LOW
GF00352,2026-09-17,S01,3,0.84,MEDIUM
GF00353,2026-09-18,S06,2,0.51,HIGH
GF00354,2026-09-19,S01,1,0.68,LOW
GF00355,2026-09-20,S06,6,0.85,MEDIUM
GF00356,2026-09-21,S01,5,0.52,HIGH
GF00357,2026-09-22,S06,4,0.69,LOW
GF00358,2026-09-23,S01,3,0.86,MEDIUM
GF00359,2026-09-24,S06,2,0.53,HIGH
GF00360,2026-09-25,S01,1,0.7,LOW
GF00361,2026-09-26,S06,6,0.87,MEDIUM
GF00362,2026-09-27,S01,5,0.54,HIGH
GF00363,2026-09-28,S06,4,0.71,LOW
GF00364,2026-09-01,S01,3,0.88,MEDIUM
GF00365,2026-09-02,S06,2,0.55,HIGH
GF00366,2026-09-03,S01,1,0.72,LOW
GF00367,2026-09-04,S06,6,0.89,MEDIUM
GF00368,2026-09-05,S01,5,0.56,HIGH
GF00369,2026-09-06,S06,4,0.73,LOW
GF00370,2026-09-07,S01,3,0.9,MEDIUM
GF00371,2026-09-08,S06,2,0.57,HIGH
GF00372,2026-09-09,S01,1,0.74,LOW
GF00373,2026-09-10,S06,6,0.91,MEDIUM
GF00374,2026-09-11,S01,5,0.58,HIGH
GF00375,2026-09-12,S06,4,0.75,LOW
GF00376,2026-09-13,S01,3,0.92,MEDIUM
GF00377,2026-09-14,S06,2,0.59,HIGH
GF00378,2026-09-15,S01,1,0.76,LOW
GF00379,2026-09-16,S06,6,0.93,MEDIUM
GF00380,2026-09-17,S01,5,0.6,HIGH
GF00381,2026-09-18,S06,4,0.77,LOW
GF00382,2026-09-19,S01,3,0.94,MEDIUM
GF00383,2026-09-20,S06,2,0.61,HIGH
GF00384,2026-09-21,S01,1,0.78,LOW
GF00385,2026-09-22,S06,6,0.95,MEDIUM
GF00386,2026-09-23,S01,5,0.62,HIGH
GF00387,2026-09-24,S06,4,0.79,LOW
GF00388,2026-09-25,S01,3,0.96,MEDIUM
GF00389,2026-09-26,S06,2,0.63,HIGH
GF00390,2026-09-27,S01,1,0.8,LOW
GF00391,2026-09-28,S06,6,0.97,MEDIUM
GF00392,2026-09-01,S01,5,0.64,HIGH
GF00393,2026-09-02,S06,4,0.81,LOW
GF00394,2026-09-03,S01,3,0.98,MEDIUM
GF00395,2026-09-04,S06,2,0.65,HIGH
GF00396,2026-09-05,S01,1,0.82,LOW
GF00397,2026-09-06,S06,6,0.99,MEDIUM
GF00398,2026-09-07,S01,5,0.66,HIGH
GF00399,2026-09-08,S06,4,0.83,LOW
GF00400,2026-09-09,S01,3,0.5,MEDIUM
GF00401,2026-09-10,S06,2,0.67,HIGH
GF00402,2026-09-11,S01,1,0.84,LOW
GF00403,2026-09-12,S06,6,0.51,MEDIUM
GF00404,2026-09-13,S01,5,0.68,HIGH
GF00405,2026-09-14,S06,4,0.85,LOW
GF00406,2026-09-15,S01,3,0.52,MEDIUM
GF00407,2026-09-16,S06,2,0.69,HIGH
GF00408,2026-09-17,S01,1,0.86,LOW
GF00409,2026-09-18,S06,6,0.53,MEDIUM
GF00410,2026-09-19,S01,5,0.7,HIGH
GF00411,2026-09-20,S06,4,0.87,LOW
GF00412,2026-09-21,S01,3,0.54,MEDIUM
GF00413,2026-09-22,S06,2,0.71,HIGH
GF00414,2026-09-23,S01,1,0.88,LOW
GF00415,2026-09-24,S06,6,0.55,MEDIUM
GF00416,2026-09-25,S01,5,0.72,HIGH
GF00417,2026-09-26,S06,4,0.89,LOW
GF00418,2026-09-27,S01,3,0.56,MEDIUM
GF00419,2026-09-28,S06,2,0.73,HIGH
GF00420,2026-09-01,S01,1,0.9,LOW
GF00421,2026-09-02,S06,6,0.57,MEDIUM
GF00422,2026-09-03,S01,5,0.74,HIGH
GF00423,2026-09-04,S06,4,0.91,LOW
GF00424,2026-09-05,S01,3,0.58,MEDIUM
GF00425,2026-09-06,S06,2,0.75,HIGH
GF00426,2026-09-07,S01,1,0.92,LOW
GF00427,2026-09-08,S06,6,0.59,MEDIUM
GF00428,2026-09-09,S01,5,0.76,HIGH
GF00429,2026-09-10,S06,4,0.93,LOW
GF00430,2026-09-11,S01,3,0.6,MEDIUM
GF00431,2026-09-12,S06,2,0.77,HIGH
GF00432,2026-09-13,S01,1,0.94,LOW
GF00433,2026-09-14,S06,6,0.61,MEDIUM
GF00434,2026-09-15,S01,5,0.78,HIGH
GF00435,2026-09-16,S06,4,0.95,LOW
GF00436,2026-09-17,S01,3,0.62,MEDIUM
GF00437,2026-09-18,S06,2,0.79,HIGH
GF00438,2026-09-19,S01,1,0.96,LOW
GF00439,2026-09-20,S06,6,0.63,MEDIUM
GF00440,2026-09-21,S01,5,0.8,HIGH
GF00441,2026-09-22,S06,4,0.97,LOW
GF00442,2026-09-23,S01,3,0.64,MEDIUM
GF00443,2026-09-24,S06,2,0.81,HIGH
GF00444,2026-09-25,S01,1,0.98,LOW
GF00445,2026-09-26,S06,6,0.65,MEDIUM
GF00446,2026-09-27,S01,5,0.82,HIGH
GF00447,2026-09-28,S06,4,0.99,LOW
GF00448,2026-09-01,S01,3,0.66,MEDIUM
GF00449,2026-09-02,S06,2,0.83,HIGH
GF00450,2026-09-03,S01,1,0.5,LOW
GF00451,2026-09-04,S06,6,0.67,MEDIUM
GF00452,2026-09-05,S01,5,0.84,HIGH
GF00453,2026-09-06,S06,4,0.51,LOW
GF00454,2026-09-07,S01,3,0.68,MEDIUM
GF00455,2026-09-08,S06,2,0.85,HIGH
GF00456,2026-09-09,S01,1,0.52,LOW
GF00457,2026-09-10,S06,6,0.69,MEDIUM
GF00458,2026-09-11,S01,5,0.86,HIGH
GF00459,2026-09-12,S06,4,0.53,LOW
GF00460,2026-09-13,S01,3,0.7,MEDIUM
GF00461,2026-09-14,S06,2,0.87,HIGH
GF00462,2026-09-15,S01,1,0.54,LOW
GF00463,2026-09-16,S06,6,0.71,MEDIUM
GF00464,2026-09-17,S01,5,0.88,HIGH
GF00465,2026-09-18,S06,4,0.55,LOW
GF00466,2026-09-19,S01,3,0.72,MEDIUM
GF00467,2026-09-20,S06,2,0.89,HIGH
GF00468,2026-09-21,S01,1,0.56,LOW
GF00469,2026-09-22,S06,6,0.73,MEDIUM
GF00470,2026-09-23,S01,5,0.9,HIGH
GF00471,2026-09-24,S06,4,0.57,LOW
GF00472,2026-09-25,S01,3,0.74,MEDIUM
GF00473,2026-09-26,S06,2,0.91,HIGH
GF00474,2026-09-27,S01,1,0.58,LOW
GF00475,2026-09-28,S06,6,0.75,MEDIUM
GF00476,2026-09-01,S01,5,0.92,HIGH
GF00477,2026-09-02,S06,4,0.59,LOW
GF00478,2026-09-03,S01,3,0.76,MEDIUM
GF00479,2026-09-04,S06,2,0.93,HIGH
GF00480,2026-09-05,S01,1,0.6,LOW
GF00481,2026-09-06,S06,6,0.77,MEDIUM
GF00482,2026-09-07,S01,5,0.94,HIGH
GF00483,2026-09-08,S06,4,0.61,LOW
GF00484,2026-09-09,S01,3,0.78,MEDIUM
GF00485,2026-09-10,S06,2,0.95,HIGH
GF00486,2026-09-11,S01,1,0.62,LOW
GF00487,2026-09-12,S06,6,0.79,MEDIUM
GF00488,2026-09-13,S01,5,0.96,HIGH
GF00489,2026-09-14,S06,4,0.63,LOW
GF00490,2026-09-15,S01,3,0.8,MEDIUM
GF00491,2026-09-16,S06,2,0.97,HIGH
GF00492,2026-09-17,S01,1,0.64,LOW
GF00493,2026-09-18,S06,6,0.81,MEDIUM
GF00494,2026-09-19,S01,5,0.98,HIGH
GF00495,2026-09-20,S06,4,0.65,LOW
GF00496,2026-09-21,S01,3,0.82,MEDIUM
GF00497,2026-09-22,S06,2,0.99,HIGH
GF00498,2026-09-23,S01,1,0.66,LOW
GF00499,2026-09-24,S06,6,0.83,MEDIUM
GF00500,2026-09-25,S01,5,0.5,HIGH
