assignment_id,scenario_id,block_request_id,window_id,assignment_method,assigned_date,assigned_start,assigned_end,assignment_status,conflict_count
BASE00056,SC01,BR00056,W00007,BASELINE,2026-09-01,18:00,20:00,UNVALIDATED,
BASE00057,SC01,BR00057,W00008,BASELINE,2026-09-01,21:00,23:00,UNVALIDATED,
BASE00058,SC01,BR00058,W00007,BASELINE,2026-09-01,18:00,20:00,UNVALIDATED,
BASE00059,SC01,BR00059,W00008,BASELINE,2026-09-01,21:00,23:00,UNVALIDATED,
BASE00060,SC01,BR00060,W00061,BASELINE,2026-09-04,18:00,20:00,UNVALIDATED,
BASE00061,SC01,BR00061,W00110,BASELINE,2026-09-06,21:00,23:00,UNVALIDATED,
BASE00062,SC01,BR00062,W00109,BASELINE,2026-09-06,18:00,20:00,UNVALIDATED,
BASE00063,SC01,BR00063,W00110,BASELINE,2026-09-06,21:00,23:00,UNVALIDATED,
BASE00064,SC01,BR00064,W00109,BASELINE,2026-09-06,18:00,20:00,UNVALIDATED,
BASE00065,SC01,BR00065,W00210,BASELINE,2026-09-11,21:00,23:00,UNVALIDATED,
BASE00066,SC01,BR00066,W00067,BASELINE,2026-09-04,18:00,20:00,UNVALIDATED,
BASE00067,SC01,BR00067,W00210,BASELINE,2026-09-11,21:00,23:00,UNVALIDATED,
BASE00068,SC01,BR00068,W00209,BASELINE,2026-09-11,18:00,20:00,UNVALIDATED,
BASE00069,SC01,BR00069,W00210,BASELINE,2026-09-11,21:00,23:00,UNVALIDATED,
BASE00070,SC01,BR00070,W00309,BASELINE,2026-09-16,18:00,20:00,UNVALIDATED,
BASE00071,SC01,BR00071,W00310,BASELINE,2026-09-16,21:00,23:00,UNVALIDATED,
BASE00072,SC01,BR00072,W00073,BASELINE,2026-09-04,18:00,20:00,UNVALIDATED,
BASE00073,SC01,BR00073,W00310,BASELINE,2026-09-16,21:00,23:00,UNVALIDATED,
BASE00074,SC01,BR00074,W00309,BASELINE,2026-09-16,18:00,20:00,UNVALIDATED,
BASE00075,SC01,BR00075,W00410,BASELINE,2026-09-21,21:00,23:00,UNVALIDATED,
BASE00076,SC01,BR00076,W00411,BASELINE,2026-09-21,18:00,20:00,UNVALIDATED,
BASE00077,SC01,BR00077,W00412,BASELINE,2026-09-21,21:00,23:00,UNVALIDATED,
BASE00078,SC01,BR00078,W00079,BASELINE,2026-09-04,18:00,20:00,UNVALIDATED,
BASE00079,SC01,BR00079,W00412,BASELINE,2026-09-21,21:00,23:00,UNVALIDATED,
BASE00080,SC01,BR00080,W00511,BASELINE,2026-09-26,18:00,20:00,UNVALIDATED,
BASE00081,SC01,BR00081,W00512,BASELINE,2026-09-26,21:00,23:00,UNVALIDATED,
BASE00082,SC01,BR00082,W00511,BASELINE,2026-09-26,18:00,20:00,UNVALIDATED,
BASE00083,SC01,BR00083,W00512,BASELINE,2026-09-26,21:00,23:00,UNVALIDATED,
BASE00084,SC01,BR00084,W00085,BASELINE,2026-09-05,18:00,20:00,UNVALIDATED,
BASE00085,SC01,BR00085,W00052,BASELINE,2026-09-03,21:00,23:00,UNVALIDATED,
BASE00086,SC01,BR00086,W00051,BASELINE,2026-09-03,18:00,20:00,UNVALIDATED,
BASE00087,SC01,BR00087,W00052,BASELINE,2026-09-03,21:00,23:00,UNVALIDATED,
BASE00088,SC01,BR00088,W00051,BASELINE,2026-09-03,18:00,20:00,UNVALIDATED,
BASE00089,SC01,BR00089,W00052,BASELINE,2026-09-03,21:00,23:00,UNVALIDATED,
BASE00090,SC01,BR00090,W00091,BASELINE,2026-09-05,18:00,20:00,UNVALIDATED,
BASE00091,SC01,BR00091,W00154,BASELINE,2026-09-08,21:00,23:00,UNVALIDATED,
BASE00092,SC01,BR00092,W00153,BASELINE,2026-09-08,18:00,20:00,UNVALIDATED,
BASE00093,SC01,BR00093,W00154,BASELINE,2026-09-08,21:00,23:00,UNVALIDATED,
BASE00094,SC01,BR00094,W00153,BASELINE,2026-09-08,18:00,20:00,UNVALIDATED,
BASE00095,SC01,BR00095,W00254,BASELINE,2026-09-13,21:00,23:00,UNVALIDATED,
BASE00096,SC01,BR00096,W00097,BASELINE,2026-09-05,18:00,20:00,UNVALIDATED,
BASE00097,SC01,BR00097,W00254,BASELINE,2026-09-13,21:00,23:00,UNVALIDATED,
BASE00098,SC01,BR00098,W00253,BASELINE,2026-09-13,18:00,20:00,UNVALIDATED,
BASE00099,SC01,BR00099,W00254,BASELINE,2026-09-13,21:00,23:00,UNVALIDATED,
BASE00100,SC01,BR00100,W00353,BASELINE,2026-09-18,18:00,20:00,UNVALIDATED,
BASE00101,SC01,BR00101,W00354,BASELINE,2026-09-18,21:00,23:00,UNVALIDATED,
BASE00102,SC01,BR00102,W00103,BASELINE,2026-09-06,18:00,20:00,UNVALIDATED,
BASE00103,SC01,BR00103,W00354,BASELINE,2026-09-18,21:00,23:00,UNVALIDATED,
BASE00104,SC01,BR00104,W00353,BASELINE,2026-09-18,18:00,20:00,UNVALIDATED,
BASE00105,SC01,BR00105,W00454,BASELINE,2026-09-23,21:00,23:00,UNVALIDATED,
BASE00106,SC01,BR00106,W00455,BASELINE,2026-09-23,18:00,20:00,UNVALIDATED,
BASE00107,SC01,BR00107,W00456,BASELINE,2026-09-23,21:00,23:00,UNVALIDATED,
BASE00108,SC01,BR00108,W00109,BASELINE,2026-09-06,18:00,20:00,UNVALIDATED,
BASE00109,SC01,BR00109,W00456,BASELINE,2026-09-23,21:00,23:00,UNVALIDATED,
BASE00110,SC01,BR00110,W00555,BASELINE,2026-09-28,18:00,20:00,UNVALIDATED,
BASE00111,SC01,BR00111,W00556,BASELINE,2026-09-28,21:00,23:00,UNVALIDATED,
BASE00112,SC01,BR00112,W00113,BASELINE,2026-09-06,18:00,20:00,UNVALIDATED,
BASE00113,SC01,BR00113,W00114,BASELINE,2026-09-06,21:00,23:00,UNVALIDATED,
BASE00114,SC01,BR00114,W00115,BASELINE,2026-09-06,18:00,20:00,UNVALIDATED,
BASE00115,SC01,BR00115,W00096,BASELINE,2026-09-05,21:00,23:00,UNVALIDATED,
BASE00116,SC01,BR00116,W00095,BASELINE,2026-09-05,18:00,20:00,UNVALIDATED,
BASE00117,SC01,BR00117,W00096,BASELINE,2026-09-05,21:00,23:00,UNVALIDATED,
BASE00118,SC01,BR00118,W00095,BASELINE,2026-09-05,18:00,20:00,UNVALIDATED,
BASE00119,SC01,BR00119,W00096,BASELINE,2026-09-05,21:00,23:00,UNVALIDATED,
BASE00120,SC01,BR00120,W00121,BASELINE,2026-09-07,18:00,20:00,UNVALIDATED,
BASE00121,SC01,BR00121,W00198,BASELINE,2026-09-10,21:00,23:00,UNVALIDATED,
BASE00122,SC01,BR00122,W00197,BASELINE,2026-09-10,18:00,20:00,UNVALIDATED,
BASE00123,SC01,BR00123,W00198,BASELINE,2026-09-10,21:00,23:00,UNVALIDATED,
BASE00124,SC01,BR00124,W00197,BASELINE,2026-09-10,18:00,20:00,UNVALIDATED,
BASE00125,SC01,BR00125,W00298,BASELINE,2026-09-15,21:00,23:00,UNVALIDATED,
BASE00126,SC01,BR00126,W00127,BASELINE,2026-09-07,18:00,20:00,UNVALIDATED,
BASE00127,SC01,BR00127,W00298,BASELINE,2026-09-15,21:00,23:00,UNVALIDATED,
BASE00128,SC01,BR00128,W00297,BASELINE,2026-09-15,18:00,20:00,UNVALIDATED,
BASE00129,SC01,BR00129,W00298,BASELINE,2026-09-15,21:00,23:00,UNVALIDATED,
BASE00130,SC01,BR00130,W00397,BASELINE,2026-09-20,18:00,20:00,UNVALIDATED,
BASE00131,SC01,BR00131,W00398,BASELINE,2026-09-20,21:00,23:00,UNVALIDATED,
BASE00132,SC01,BR00132,W00133,BASELINE,2026-09-07,18:00,20:00,UNVALIDATED,
BASE00133,SC01,BR00133,W00398,BASELINE,2026-09-20,21:00,23:00,UNVALIDATED,
BASE00134,SC01,BR00134,W00397,BASELINE,2026-09-20,18:00,20:00,UNVALIDATED,
BASE00135,SC01,BR00135,W00498,BASELINE,2026-09-25,21:00,23:00,UNVALIDATED,
BASE00136,SC01,BR00136,W00499,BASELINE,2026-09-25,18:00,20:00,UNVALIDATED,
BASE00137,SC01,BR00137,W00500,BASELINE,2026-09-25,21:00,23:00,UNVALIDATED,
BASE00138,SC01,BR00138,W00139,BASELINE,2026-09-07,18:00,20:00,UNVALIDATED,
BASE00139,SC01,BR00139,W00500,BASELINE,2026-09-25,21:00,23:00,UNVALIDATED,
BASE00140,SC01,BR00140,W00039,BASELINE,2026-09-02,18:00,20:00,UNVALIDATED,
BASE00141,SC01,BR00141,W00040,BASELINE,2026-09-02,21:00,23:00,UNVALIDATED,
BASE00142,SC01,BR00142,W00039,BASELINE,2026-09-02,18:00,20:00,UNVALIDATED,
BASE00143,SC01,BR00143,W00040,BASELINE,2026-09-02,21:00,23:00,UNVALIDATED,
BASE00144,SC01,BR00144,W00145,BASELINE,2026-09-08,18:00,20:00,UNVALIDATED,
BASE00145,SC01,BR00145,W00140,BASELINE,2026-09-07,21:00,23:00,UNVALIDATED,
BASE00146,SC01,BR00146,W00139,BASELINE,2026-09-07,18:00,20:00,UNVALIDATED,
BASE00147,SC01,BR00147,W00140,BASELINE,2026-09-07,21:00,23:00,UNVALIDATED,
BASE00148,SC01,BR00148,W00139,BASELINE,2026-09-07,18:00,20:00,UNVALIDATED,
BASE00149,SC01,BR00149,W00140,BASELINE,2026-09-07,21:00,23:00,UNVALIDATED,
BASE00150,SC01,BR00150,W00151,BASELINE,2026-09-08,18:00,20:00,UNVALIDATED,
