bundle_id,task_id_a,task_id_b,bundle_rule,reason
BND0060,T00061,T00062,SAME_SECTION,Potential shared block
BND0061,T00072,T00073,SAME_SECTION,Potential shared block
BND0062,T00083,T00084,SAME_SECTION,Potential shared block
BND0063,T00094,T00095,SAME_SECTION,Potential shared block
BND0064,T00105,T00106,SAME_SECTION,Potential shared block
BND0065,T00116,T00117,SAME_SECTION,Potential shared block
BND0066,T00127,T00128,SAME_SECTION,Potential shared block
BND0067,T00138,T00139,SAME_SECTION,Potential shared block
BND0068,T00149,T00150,SAME_SECTION,Potential shared block
BND0069,T00010,T00011,SAME_SECTION,Potential shared block
BND0070,T00021,T00022,SAME_SECTION,Potential shared block
BND0071,T00032,T00033,SAME_SECTION,Potential shared block
BND0072,T00043,T00044,SAME_SECTION,Potential shared block
BND0073,T00054,T00055,SAME_SECTION,Potential shared block
BND0074,T00065,T00066,SAME_SECTION,Potential shared block
BND0075,T00076,T00077,SAME_SECTION,Potential shared block
BND0076,T00087,T00088,SAME_SECTION,Potential shared block
BND0077,T00098,T00099,SAME_SECTION,Potential shared block
BND0078,T00109,T00110,SAME_SECTION,Potential shared block
BND0079,T00120,T00121,SAME_SECTION,Potential shared block
BND0080,T00131,T00132,SAME_SECTION,Potential shared block
BND0081,T00142,T00143,SAME_SECTION,Potential shared block
BND0082,T00003,T00004,SAME_SECTION,Potential shared block
BND0083,T00014,T00015,SAME_SECTION,Potential shared block
BND0084,T00025,T00026,SAME_SECTION,Potential shared block
BND0085,T00036,T00037,SAME_SECTION,Potential shared block
BND0086,T00047,T00048,SAME_SECTION,Potential shared block
BND0087,T00058,T00059,SAME_SECTION,Potential shared block
BND0088,T00069,T00070,SAME_SECTION,Potential shared block
BND0089,T00080,T00081,SAME_SECTION,Potential shared block
BND0090,T00091,T00092,SAME_SECTION,Potential shared block
BND0091,T00102,T00103,SAME_SECTION,Potential shared block
BND0092,T00113,T00114,SAME_SECTION,Potential shared block
BND0093,T00124,T00125,SAME_SECTION,Potential shared block
BND0094,T00135,T00136,SAME_SECTION,Potential shared block
BND0095,T00146,T00147,SAME_SECTION,Potential shared block
BND0096,T00007,T00008,SAME_SECTION,Potential shared block
BND0097,T00018,T00019,SAME_SECTION,Potential shared block
BND0098,T00029,T00030,SAME_SECTION,Potential shared block
BND0099,T00040,T00041,SAME_SECTION,Potential shared block
BND0100,T00051,T00052,SAME_SECTION,Potential shared block
BND0101,T00062,T00063,SAME_SECTION,Potential shared block
BND0102,T00073,T00074,SAME_SECTION,Potential shared block
BND0103,T00084,T00085,SAME_SECTION,Potential shared block
BND0104,T00095,T00096,SAME_SECTION,Potential shared block
BND0105,T00106,T00107,SAME_SECTION,Potential shared block
BND0106,T00117,T00118,SAME_SECTION,Potential shared block
BND0107,T00128,T00129,SAME_SECTION,Potential shared block
BND0108,T00139,T00140,SAME_SECTION,Potential shared block
BND0109,T00150,T00001,SAME_SECTION,Potential shared block
BND0110,T00011,T00012,SAME_SECTION,Potential shared block
BND0111,T00022,T00023,SAME_SECTION,Potential shared block
BND0112,T00033,T00034,SAME_SECTION,Potential shared block
BND0113,T00044,T00045,SAME_SECTION,Potential shared block
BND0114,T00055,T00056,SAME_SECTION,Potential shared block
BND0115,T00066,T00067,SAME_SECTION,Potential shared block
BND0116,T00077,T00078,SAME_SECTION,Potential shared block
BND0117,T00088,T00089,SAME_SECTION,Potential shared block
BND0118,T00099,T00100,SAME_SECTION,Potential shared block
BND0119,T00110,T00111,SAME_SECTION,Potential shared block
BND0120,T00121,T00122,SAME_SECTION,Potential shared block
BND0121,T00132,T00133,SAME_SECTION,Potential shared block
BND0122,T00143,T00144,SAME_SECTION,Potential shared block
BND0123,T00004,T00005,SAME_SECTION,Potential shared block
BND0124,T00015,T00016,SAME_SECTION,Potential shared block
BND0125,T00026,T00027,SAME_SECTION,Potential shared block
BND0126,T00037,T00038,SAME_SECTION,Potential shared block
BND0127,T00048,T00049,SAME_SECTION,Potential shared block
BND0128,T00059,T00060,SAME_SECTION,Potential shared block
BND0129,T00070,T00071,SAME_SECTION,Potential shared block
BND0130,T00081,T00082,SAME_SECTION,Potential shared block
BND0131,T00092,T00093,SAME_SECTION,Potential shared block
BND0132,T00103,T00104,SAME_SECTION,Potential shared block
BND0133,T00114,T00115,SAME_SECTION,Potential shared block
BND0134,T00125,T00126,SAME_SECTION,Potential shared block
BND0135,T00136,T00137,SAME_SECTION,Potential shared block
BND0136,T00147,T00148,SAME_SECTION,Potential shared block
BND0137,T00008,T00009,SAME_SECTION,Potential shared block
BND0138,T00019,T00020,SAME_SECTION,Potential shared block
BND0139,T00030,T00031,SAME_SECTION,Potential shared block
BND0140,T00041,T00042,SAME_SECTION,Potential shared block
BND0141,T00052,T00053,SAME_SECTION,Potential shared block
BND0142,T00063,T00064,SAME_SECTION,Potential shared block
BND0143,T00074,T00075,SAME_SECTION,Potential shared block
BND0144,T00085,T00086,SAME_SECTION,Potential shared block
BND0145,T00096,T00097,SAME_SECTION,Potential shared block
BND0146,T00107,T00108,SAME_SECTION,Potential shared block
BND0147,T00118,T00119,SAME_SECTION,Potential shared block
BND0148,T00129,T00130,SAME_SECTION,Potential shared block
BND0149,T00140,T00141,SAME_SECTION,Potential shared block
BND0150,T00001,T00002,SAME_SECTION,Potential shared block
