train_event_id,train_type,service_date,entry_time,exit_time,section_id,operational_priority,is_forecast
TR00211,ENGINEERING,2026-09-16,16:07,16:52,S04,2,False
TR00212,PASSENGER,2026-09-17,16:44,17:04,S07,4,False
TR00213,EXPRESS,2026-09-18,17:21,17:46,S10,5,False
TR00214,FREIGHT,2026-09-19,17:58,18:33,S03,3,False
TR00215,ENGINEERING,2026-09-20,18:35,19:20,S06,2,False
TR00216,PASSENGER,2026-09-21,19:12,19:32,S09,4,True
TR00217,EXPRESS,2026-09-22,19:49,20:14,S02,5,False
TR00218,FREIGHT,2026-09-23,20:26,21:01,S05,3,False
TR00219,ENGINEERING,2026-09-24,21:03,21:48,S08,2,False
TR00220,PASSENGER,2026-09-25,21:40,22:00,S01,4,False
TR00221,EXPRESS,2026-09-26,05:17,05:42,S04,5,False
TR00222,FREIGHT,2026-09-27,05:54,06:29,S07,3,False
TR00223,ENGINEERING,2026-09-28,06:31,07:16,S10,2,False
TR00224,PASSENGER,2026-09-01,07:08,07:28,S03,4,False
TR00225,EXPRESS,2026-09-02,07:45,08:10,S06,5,True
TR00226,FREIGHT,2026-09-03,08:22,08:57,S09,3,False
TR00227,ENGINEERING,2026-09-04,08:59,09:44,S02,2,False
TR00228,PASSENGER,2026-09-05,09:36,09:56,S05,4,False
TR00229,EXPRESS,2026-09-06,10:13,10:38,S08,5,False
TR00230,FREIGHT,2026-09-07,10:50,11:25,S01,3,False
TR00231,ENGINEERING,2026-09-08,11:27,12:12,S04,2,False
TR00232,PASSENGER,2026-09-09,12:04,12:24,S07,4,False
TR00233,EXPRESS,2026-09-10,12:41,13:06,S10,5,False
TR00234,FREIGHT,2026-09-11,13:18,13:53,S03,3,True
TR00235,ENGINEERING,2026-09-12,13:55,14:40,S06,2,False
TR00236,PASSENGER,2026-09-13,14:32,14:52,S09,4,False
TR00237,EXPRESS,2026-09-14,15:09,15:34,S02,5,False
TR00238,FREIGHT,2026-09-15,15:46,16:21,S05,3,False
TR00239,ENGINEERING,2026-09-16,16:23,17:08,S08,2,False
TR00240,PASSENGER,2026-09-17,17:00,17:20,S01,4,False
TR00241,EXPRESS,2026-09-18,17:37,18:02,S04,5,False
TR00242,FREIGHT,2026-09-19,18:14,18:49,S07,3,False
TR00243,ENGINEERING,2026-09-20,18:51,19:36,S10,2,True
TR00244,PASSENGER,2026-09-21,19:28,19:48,S03,4,False
TR00245,EXPRESS,2026-09-22,20:05,20:30,S06,5,False
TR00246,FREIGHT,2026-09-23,20:42,21:17,S09,3,False
TR00247,ENGINEERING,2026-09-24,21:19,22:04,S02,2,False
TR00248,PASSENGER,2026-09-25,21:56,22:16,S05,4,False
TR00249,EXPRESS,2026-09-26,05:33,05:58,S08,5,False
TR00250,FREIGHT,2026-09-27,06:10,06:45,S01,3,False
TR00251,ENGINEERING,2026-09-28,06:47,07:32,S04,2,False
TR00252,PASSENGER,2026-09-01,07:24,07:44,S07,4,True
TR00253,EXPRESS,2026-09-02,08:01,08:26,S10,5,False
TR00254,FREIGHT,2026-09-03,08:38,09:13,S03,3,False
TR00255,ENGINEERING,2026-09-04,09:15,10:00,S06,2,False
TR00256,PASSENGER,2026-09-05,09:52,10:12,S09,4,False
TR00257,EXPRESS,2026-09-06,10:29,10:54,S02,5,False
TR00258,FREIGHT,2026-09-07,11:06,11:41,S05,3,False
TR00259,ENGINEERING,2026-09-08,11:43,12:28,S08,2,False
TR00260,PASSENGER,2026-09-09,12:20,12:40,S01,4,False
TR00261,EXPRESS,2026-09-10,12:57,13:22,S04,5,True
TR00262,FREIGHT,2026-09-11,13:34,14:09,S07,3,False
TR00263,ENGINEERING,2026-09-12,14:11,14:56,S10,2,False
TR00264,PASSENGER,2026-09-13,14:48,15:08,S03,4,False
TR00265,EXPRESS,2026-09-14,15:25,15:50,S06,5,False
TR00266,FREIGHT,2026-09-15,16:02,16:37,S09,3,False
TR00267,ENGINEERING,2026-09-16,16:39,17:24,S02,2,False
TR00268,PASSENGER,2026-09-17,17:16,17:36,S05,4,False
TR00269,EXPRESS,2026-09-18,17:53,18:18,S08,5,False
TR00270,FREIGHT,2026-09-19,18:30,19:05,S01,3,True
TR00271,ENGINEERING,2026-09-20,19:07,19:52,S04,2,False
TR00272,PASSENGER,2026-09-21,19:44,20:04,S07,4,False
TR00273,EXPRESS,2026-09-22,20:21,20:46,S10,5,False
TR00274,FREIGHT,2026-09-23,20:58,21:33,S03,3,False
TR00275,ENGINEERING,2026-09-24,21:35,22:20,S06,2,False
TR00276,PASSENGER,2026-09-25,05:12,05:32,S09,4,False
TR00277,EXPRESS,2026-09-26,05:49,06:14,S02,5,False
TR00278,FREIGHT,2026-09-27,06:26,07:01,S05,3,False
TR00279,ENGINEERING,2026-09-28,07:03,07:48,S08,2,True
TR00280,PASSENGER,2026-09-01,07:40,08:00,S01,4,False
TR00281,EXPRESS,2026-09-02,08:17,08:42,S04,5,False
TR00282,FREIGHT,2026-09-03,08:54,09:29,S07,3,False
TR00283,ENGINEERING,2026-09-04,09:31,10:16,S10,2,False
TR00284,PASSENGER,2026-09-05,10:08,10:28,S03,4,False
TR00285,EXPRESS,2026-09-06,10:45,11:10,S06,5,False
TR00286,FREIGHT,2026-09-07,11:22,11:57,S09,3,False
TR00287,ENGINEERING,2026-09-08,11:59,12:44,S02,2,False
TR00288,PASSENGER,2026-09-09,12:36,12:56,S05,4,True
TR00289,EXPRESS,2026-09-10,13:13,13:38,S08,5,False
TR00290,FREIGHT,2026-09-11,13:50,14:25,S01,3,False
TR00291,ENGINEERING,2026-09-12,14:27,15:12,S04,2,False
TR00292,PASSENGER,2026-09-13,15:04,15:24,S07,4,False
TR00293,EXPRESS,2026-09-14,15:41,16:06,S10,5,False
TR00294,FREIGHT,2026-09-15,16:18,16:53,S03,3,False
TR00295,ENGINEERING,2026-09-16,16:55,17:40,S06,2,False
TR00296,PASSENGER,2026-09-17,17:32,17:52,S09,4,False
TR00297,EXPRESS,2026-09-18,18:09,18:34,S02,5,True
TR00298,FREIGHT,2026-09-19,18:46,19:21,S05,3,False
TR00299,ENGINEERING,2026-09-20,19:23,20:08,S08,2,False
TR00300,PASSENGER,2026-09-21,20:00,20:20,S01,4,False
TR00301,EXPRESS,2026-09-22,20:37,21:02,S04,5,False
TR00302,FREIGHT,2026-09-23,21:14,21:49,S07,3,False
TR00303,ENGINEERING,2026-09-24,21:51,22:36,S10,2,False
TR00304,PASSENGER,2026-09-25,05:28,05:48,S03,4,False
TR00305,EXPRESS,2026-09-26,06:05,06:30,S06,5,False
TR00306,FREIGHT,2026-09-27,06:42,07:17,S09,3,True
TR00307,ENGINEERING,2026-09-28,07:19,08:04,S02,2,False
TR00308,PASSENGER,2026-09-01,07:56,08:16,S05,4,False
TR00309,EXPRESS,2026-09-02,08:33,08:58,S08,5,False
TR00310,FREIGHT,2026-09-03,09:10,09:45,S01,3,False
TR00311,ENGINEERING,2026-09-04,09:47,10:32,S04,2,False
TR00312,PASSENGER,2026-09-05,10:24,10:44,S07,4,False
TR00313,EXPRESS,2026-09-06,11:01,11:26,S10,5,False
TR00314,FREIGHT,2026-09-07,11:38,12:13,S03,3,False
TR00315,ENGINEERING,2026-09-08,12:15,13:00,S06,2,True
TR00316,PASSENGER,2026-09-09,12:52,13:12,S09,4,False
TR00317,EXPRESS,2026-09-10,13:29,13:54,S02,5,False
TR00318,FREIGHT,2026-09-11,14:06,14:41,S05,3,False
TR00319,ENGINEERING,2026-09-12,14:43,15:28,S08,2,False
TR00320,PASSENGER,2026-09-13,15:20,15:40,S01,4,False
TR00321,EXPRESS,2026-09-14,15:57,16:22,S04,5,False
TR00322,FREIGHT,2026-09-15,16:34,17:09,S07,3,False
TR00323,ENGINEERING,2026-09-16,17:11,17:56,S10,2,False
TR00324,PASSENGER,2026-09-17,17:48,18:08,S03,4,True
TR00325,EXPRESS,2026-09-18,18:25,18:50,S06,5,False
TR00326,FREIGHT,2026-09-19,19:02,19:37,S09,3,False
TR00327,ENGINEERING,2026-09-20,19:39,20:24,S02,2,False
TR00328,PASSENGER,2026-09-21,20:16,20:36,S05,4,False
TR00329,EXPRESS,2026-09-22,20:53,21:18,S08,5,False
TR00330,FREIGHT,2026-09-23,21:30,22:05,S01,3,False
TR00331,ENGINEERING,2026-09-24,05:07,05:52,S04,2,False
TR00332,PASSENGER,2026-09-25,05:44,06:04,S07,4,False
TR00333,EXPRESS,2026-09-26,06:21,06:46,S10,5,True
TR00334,FREIGHT,2026-09-27,06:58,07:33,S03,3,False
TR00335,ENGINEERING,2026-09-28,07:35,08:20,S06,2,False
TR00336,PASSENGER,2026-09-01,08:12,08:32,S09,4,False
TR00337,EXPRESS,2026-09-02,08:49,09:14,S02,5,False
TR00338,FREIGHT,2026-09-03,09:26,10:01,S05,3,False
TR00339,ENGINEERING,2026-09-04,10:03,10:48,S08,2,False
TR00340,PASSENGER,2026-09-05,10:40,11:00,S01,4,False
TR00341,EXPRESS,2026-09-06,11:17,11:42,S04,5,False
TR00342,FREIGHT,2026-09-07,11:54,12:29,S07,3,True
TR00343,ENGINEERING,2026-09-08,12:31,13:16,S10,2,False
TR00344,PASSENGER,2026-09-09,13:08,13:28,S03,4,False
TR00345,EXPRESS,2026-09-10,13:45,14:10,S06,5,False
TR00346,FREIGHT,2026-09-11,14:22,14:57,S09,3,False
TR00347,ENGINEERING,2026-09-12,14:59,15:44,S02,2,False
TR00348,PASSENGER,2026-09-13,15:36,15:56,S05,4,False
TR00349,EXPRESS,2026-09-14,16:13,16:38,S08,5,False
TR00350,FREIGHT,2026-09-15,16:50,17:25,S01,3,False
TR00351,ENGINEERING,2026-09-16,17:27,18:12,S04,2,True
TR00352,PASSENGER,2026-09-17,18:04,18:24,S07,4,False
TR00353,EXPRESS,2026-09-18,18:41,19:06,S10,5,False
TR00354,FREIGHT,2026-09-19,19:18,19:53,S03,3,False
TR00355,ENGINEERING,2026-09-20,19:55,20:40,S06,2,False
TR00356,PASSENGER,2026-09-21,20:32,20:52,S09,4,False
TR00357,EXPRESS,2026-09-22,21:09,21:34,S02,5,False
TR00358,FREIGHT,2026-09-23,21:46,22:21,S05,3,False
TR00359,ENGINEERING,2026-09-24,05:23,06:08,S08,2,False
TR00360,PASSENGER,2026-09-25,06:00,06:20,S01,4,True
TR00361,EXPRESS,2026-09-26,06:37,07:02,S04,5,False
TR00362,FREIGHT,2026-09-27,07:14,07:49,S07,3,False
TR00363,ENGINEERING,2026-09-28,07:51,08:36,S10,2,False
TR00364,PASSENGER,2026-09-01,08:28,08:48,S03,4,False
TR00365,EXPRESS,2026-09-02,09:05,09:30,S06,5,False
TR00366,FREIGHT,2026-09-03,09:42,10:17,S09,3,False
TR00367,ENGINEERING,2026-09-04,10:19,11:04,S02,2,False
TR00368,PASSENGER,2026-09-05,10:56,11:16,S05,4,False
TR00369,EXPRESS,2026-09-06,11:33,11:58,S08,5,True
TR00370,FREIGHT,2026-09-07,12:10,12:45,S01,3,False
TR00371,ENGINEERING,2026-09-08,12:47,13:32,S04,2,False
TR00372,PASSENGER,2026-09-09,13:24,13:44,S07,4,False
TR00373,EXPRESS,2026-09-10,14:01,14:26,S10,5,False
TR00374,FREIGHT,2026-09-11,14:38,15:13,S03,3,False
TR00375,ENGINEERING,2026-09-12,15:15,16:00,S06,2,False
TR00376,PASSENGER,2026-09-13,15:52,16:12,S09,4,False
TR00377,EXPRESS,2026-09-14,16:29,16:54,S02,5,False
TR00378,FREIGHT,2026-09-15,17:06,17:41,S05,3,True
TR00379,ENGINEERING,2026-09-16,17:43,18:28,S08,2,False
TR00380,PASSENGER,2026-09-17,18:20,18:40,S01,4,False
TR00381,EXPRESS,2026-09-18,18:57,19:22,S04,5,False
TR00382,FREIGHT,2026-09-19,19:34,20:09,S07,3,False
TR00383,ENGINEERING,2026-09-20,20:11,20:56,S10,2,False
TR00384,PASSENGER,2026-09-21,20:48,21:08,S03,4,False
TR00385,EXPRESS,2026-09-22,21:25,21:50,S06,5,False
TR00386,FREIGHT,2026-09-23,05:02,05:37,S09,3,False
TR00387,ENGINEERING,2026-09-24,05:39,06:24,S02,2,True
TR00388,PASSENGER,2026-09-25,06:16,06:36,S05,4,False
TR00389,EXPRESS,2026-09-26,06:53,07:18,S08,5,False
TR00390,FREIGHT,2026-09-27,07:30,08:05,S01,3,False
TR00391,ENGINEERING,2026-09-28,08:07,08:52,S04,2,False
TR00392,PASSENGER,2026-09-01,08:44,09:04,S07,4,False
TR00393,EXPRESS,2026-09-02,09:21,09:46,S10,5,False
TR00394,FREIGHT,2026-09-03,09:58,10:33,S03,3,False
TR00395,ENGINEERING,2026-09-04,10:35,11:20,S06,2,False
TR00396,PASSENGER,2026-09-05,11:12,11:32,S09,4,True
TR00397,EXPRESS,2026-09-06,11:49,12:14,S02,5,False
TR00398,FREIGHT,2026-09-07,12:26,13:01,S05,3,False
TR00399,ENGINEERING,2026-09-08,13:03,13:48,S08,2,False
TR00400,PASSENGER,2026-09-09,13:40,14:00,S01,4,False
TR00401,EXPRESS,2026-09-10,14:17,14:42,S04,5,False
TR00402,FREIGHT,2026-09-11,14:54,15:29,S07,3,False
TR00403,ENGINEERING,2026-09-12,15:31,16:16,S10,2,False
TR00404,PASSENGER,2026-09-13,16:08,16:28,S03,4,False
TR00405,EXPRESS,2026-09-14,16:45,17:10,S06,5,True
TR00406,FREIGHT,2026-09-15,17:22,17:57,S09,3,False
