restriction_id,section_id,date,restriction_type,restriction_code,severity,description
RES0087,S08,2026-09-04,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S08
RES0088,S09,2026-09-05,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S09
RES0089,S10,2026-09-06,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S10
RES0090,S01,2026-09-07,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S01
RES0091,S02,2026-09-08,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S02
RES0092,S03,2026-09-09,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S03
RES0093,S04,2026-09-10,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S04
RES0094,S05,2026-09-11,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S05
RES0095,S06,2026-09-12,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S06
RES0096,S07,2026-09-13,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S07
RES0097,S08,2026-09-14,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S08
RES0098,S09,2026-09-15,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S09
RES0099,S10,2026-09-16,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S10
RES0100,S01,2026-09-17,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S01
RES0101,S02,2026-09-18,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S02
RES0102,S03,2026-09-19,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S03
RES0103,S04,2026-09-20,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S04
RES0104,S05,2026-09-21,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S05
RES0105,S06,2026-09-22,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S06
RES0106,S07,2026-09-23,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S07
RES0107,S08,2026-09-24,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S08
RES0108,S09,2026-09-25,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S09
RES0109,S10,2026-09-26,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S10
RES0110,S01,2026-09-27,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S01
RES0111,S02,2026-09-28,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S02
RES0112,S03,2026-09-01,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S03
RES0113,S04,2026-09-02,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S04
RES0114,S05,2026-09-03,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S05
RES0115,S06,2026-09-04,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S06
RES0116,S07,2026-09-05,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S07
RES0117,S08,2026-09-06,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S08
RES0118,S09,2026-09-07,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S09
RES0119,S10,2026-09-08,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S10
RES0120,S01,2026-09-09,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S01
RES0121,S02,2026-09-10,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S02
RES0122,S03,2026-09-11,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S03
RES0123,S04,2026-09-12,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S04
RES0124,S05,2026-09-13,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S05
RES0125,S06,2026-09-14,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S06
RES0126,S07,2026-09-15,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S07
RES0127,S08,2026-09-16,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S08
RES0128,S09,2026-09-17,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S09
RES0129,S10,2026-09-18,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S10
RES0130,S01,2026-09-19,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S01
RES0131,S02,2026-09-20,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S02
RES0132,S03,2026-09-21,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S03
RES0133,S04,2026-09-22,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S04
RES0134,S05,2026-09-23,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S05
RES0135,S06,2026-09-24,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S06
RES0136,S07,2026-09-25,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S07
RES0137,S08,2026-09-26,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S08
RES0138,S09,2026-09-27,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S09
RES0139,S10,2026-09-28,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S10
RES0140,S01,2026-09-01,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S01
RES0141,S02,2026-09-02,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S02
RES0142,S03,2026-09-03,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S03
RES0143,S04,2026-09-04,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S04
RES0144,S05,2026-09-05,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S05
RES0145,S06,2026-09-06,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S06
RES0146,S07,2026-09-07,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S07
RES0147,S08,2026-09-08,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S08
RES0148,S09,2026-09-09,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S09
RES0149,S10,2026-09-10,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S10
RES0150,S01,2026-09-11,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S01
RES0151,S02,2026-09-12,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S02
RES0152,S03,2026-09-13,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S03
RES0153,S04,2026-09-14,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S04
RES0154,S05,2026-09-15,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S05
RES0155,S06,2026-09-16,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S06
RES0156,S07,2026-09-17,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S07
RES0157,S08,2026-09-18,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S08
RES0158,S09,2026-09-19,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S09
RES0159,S10,2026-09-20,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S10
RES0160,S01,2026-09-21,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S01
RES0161,S02,2026-09-22,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S02
RES0162,S03,2026-09-23,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S03
RES0163,S04,2026-09-24,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S04
RES0164,S05,2026-09-25,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S05
RES0165,S06,2026-09-26,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S06
RES0166,S07,2026-09-27,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S07
RES0167,S08,2026-09-28,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S08
RES0168,S09,2026-09-01,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S09
RES0169,S10,2026-09-02,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S10
RES0170,S01,2026-09-03,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S01
RES0171,S02,2026-09-04,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S02
RES0172,S03,2026-09-05,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S03
RES0173,S04,2026-09-06,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S04
RES0174,S05,2026-09-07,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S05
RES0175,S06,2026-09-08,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S06
RES0176,S07,2026-09-09,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S07
RES0177,S08,2026-09-10,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S08
RES0178,S09,2026-09-11,TEMPORARY,POWER_ISOLATION_LIMIT,MEDIUM,Restriction affecting S09
RES0179,S10,2026-09-12,TEMPORARY,ROUTE_RESTRICTION,HIGH,Restriction affecting S10
RES0180,S01,2026-09-13,TEMPORARY,SPEED_RESTRICTION,LOW,Restriction affecting S01
